Date,Close,Change
01-Jan-2010,7.5081,0.0
04-Jan-2010,7.5128,0.0047
05-Jan-2010,7.5152,0.0023
06-Jan-2010,7.53,0.0149
07-Jan-2010,7.5281,-0.0019
08-Jan-2010,7.5335,0.0054
11-Jan-2010,7.534,0.0005
12-Jan-2010,7.5396,0.0055
13-Jan-2010,7.539,-0.0005
14-Jan-2010,7.5569,0.0179
15-Jan-2010,7.5388,-0.0181
18-Jan-2010,7.5452,0.0064
19-Jan-2010,7.5664,0.0212
20-Jan-2010,7.5584,-0.008
21-Jan-2010,7.5705,0.0121
22-Jan-2010,7.5669,-0.0036
25-Jan-2010,7.5746,0.0077
26-Jan-2010,7.5922,0.0176
27-Jan-2010,7.5885,-0.0036
28-Jan-2010,7.5796,-0.009
29-Jan-2010,7.5804,0.0008
01-Feb-2010,7.562,-0.0185
02-Feb-2010,7.5549,-0.007
03-Feb-2010,7.5558,0.0008
04-Feb-2010,7.5418,-0.0139
05-Feb-2010,7.533,-0.0088
08-Feb-2010,7.5203,-0.0127
09-Feb-2010,7.5213,0.0009
10-Feb-2010,7.4999,-0.0214
11-Feb-2010,7.5043,0.0045
12-Feb-2010,7.5071,0.0028
15-Feb-2010,7.5324,0.0253
16-Feb-2010,7.5425,0.0101
17-Feb-2010,7.5392,-0.0033
18-Feb-2010,7.537,-0.0022
19-Feb-2010,7.5353,-0.0017
22-Feb-2010,7.5313,-0.0041
23-Feb-2010,7.5351,0.0038
24-Feb-2010,7.5112,-0.0239
25-Feb-2010,7.5195,0.0083
26-Feb-2010,7.5341,0.0147
01-Mar-2010,7.5277,-0.0064
02-Mar-2010,7.5356,0.0079
03-Mar-2010,7.5407,0.0051
04-Mar-2010,7.5643,0.0236
05-Mar-2010,7.5602,-0.0041
08-Mar-2010,7.5562,-0.004
09-Mar-2010,7.5395,-0.0167
10-Mar-2010,7.5383,-0.0012
11-Mar-2010,7.5075,-0.0308
12-Mar-2010,7.5234,0.0158
15-Mar-2010,7.5195,-0.0039
16-Mar-2010,7.5021,-0.0174
17-Mar-2010,7.504,0.0019
18-Mar-2010,7.4944,-0.0096
19-Mar-2010,7.4933,-0.0011
22-Mar-2010,7.4976,0.0043
23-Mar-2010,7.5079,0.0104
24-Mar-2010,7.5169,0.009
25-Mar-2010,7.5006,-0.0163
26-Mar-2010,7.4979,-0.0026
29-Mar-2010,7.4971,-0.0008
30-Mar-2010,7.4933,-0.0039
31-Mar-2010,7.4989,0.0056
01-Apr-2010,7.4976,-0.0013
02-Apr-2010,7.5023,0.0047
05-Apr-2010,7.512,0.0096
06-Apr-2010,7.5156,0.0036
07-Apr-2010,7.5262,0.0106
08-Apr-2010,7.5515,0.0253
09-Apr-2010,7.5638,0.0123
12-Apr-2010,7.5795,0.0157
13-Apr-2010,7.5992,0.0197
14-Apr-2010,7.6093,0.0101
15-Apr-2010,7.5973,-0.012
16-Apr-2010,7.6086,0.0113
19-Apr-2010,7.605,-0.0036
20-Apr-2010,7.5856,-0.0194
21-Apr-2010,7.5712,-0.0144
22-Apr-2010,7.5655,-0.0056
23-Apr-2010,7.5588,-0.0067
26-Apr-2010,7.5562,-0.0026
27-Apr-2010,7.5456,-0.0106
28-Apr-2010,7.579,0.0334
29-Apr-2010,7.5687,-0.0103
30-Apr-2010,7.5525,-0.0161
03-May-2010,7.5524,-0.0002
04-May-2010,7.55,-0.0023
05-May-2010,7.5551,0.005
06-May-2010,7.5562,0.0011
07-May-2010,7.5667,0.0105
10-May-2010,7.5932,0.0265
