Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-2010,5196.59,5361.65,5160.96,5325.13,0,3687.9
04-Jan-2010,5315.94,5461.5,5276.28,5421.06,0,3225.95
05-Jan-2010,5430.4,5446.53,5309.82,5325.64,0,2950.99
06-Jan-2010,5327.93,5357.06,5269.6,5298.57,0,2747.36
07-Jan-2010,5305.37,5335.33,5288.82,5318.74,0,2166.79
08-Jan-2010,5327.7,5357.86,5268.44,5298.43,0,3349.98
11-Jan-2010,5285.79,5321.78,5173.79,5209.26,0,3176.42
12-Jan-2010,5191.7,5302.48,5178.72,5289.26,0,3671.09
13-Jan-2010,5273.59,5315.57,5248.1,5290.0,0,1476.46
14-Jan-2010,5285.52,5380.69,5238.27,5333.02,0,2519.68
15-Jan-2010,5330.72,5376.31,5302.2,5347.7,0,3253.17
18-Jan-2010,5345.15,5409.0,5293.7,5357.43,0,2762.93
19-Jan-2010,5359.83,5516.44,5306.85,5462.45,0,3555.78
20-Jan-2010,5455.0,5501.44,5329.11,5374.87,0,2543.89
21-Jan-2010,5370.07,5373.15,5292.81,5295.84,0,1393.61
22-Jan-2010,5314.15,5353.19,5284.28,5323.28,0,3782.81
25-Jan-2010,5324.76,5415.63,5287.51,5378.0,0,2536.05
26-Jan-2010,5371.38,5419.7,5323.82,5372.14,0,1654.96
27-Jan-2010,5370.49,5419.56,5283.49,5332.22,0,3617.25
28-Jan-2010,5335.12,5354.06,5331.93,5350.86,0,1172.5
29-Jan-2010,5336.55,5443.94,5288.88,5395.74,0,1790.12
01-Feb-2010,5389.48,5466.56,5352.09,5428.9,0,2497.74
02-Feb-2010,5424.59,5526.37,5382.28,5483.6,0,1621.84
03-Feb-2010,5484.14,5569.13,5450.39,5535.06,0,3108.23
04-Feb-2010,5530.22,5574.68,5452.21,5496.41,0,3135.14
05-Feb-2010,5502.71,5563.28,5449.74,5510.24,0,4375.48
08-Feb-2010,5500.68,5583.76,5473.66,5556.47,0,2384.01
09-Feb-2010,5558.62,5604.11,5414.59,5459.27,0,6011.13
10-Feb-2010,5464.14,5516.12,5364.3,5415.82,0,3379.32
11-Feb-2010,5417.24,5492.25,5390.02,5464.79,0,1586.03
12-Feb-2010,5449.1,5547.46,5393.84,5491.77,0,2329.49
15-Feb-2010,5505.61,5561.11,5371.13,5425.82,0,4273.38
16-Feb-2010,5429.98,5454.3,5316.91,5340.83,0,2700.06
17-Feb-2010,5330.54,5365.2,5294.46,5329.11,0,3045.84
18-Feb-2010,5332.41,5387.41,5296.01,5350.88,0,4251.83
19-Feb-2010,5363.66,5414.93,5302.94,5354.12,0,3213.06
22-Feb-2010,5356.5,5419.14,5283.26,5345.77,0,7079.56
23-Feb-2010,5359.92,5409.37,5325.35,5374.71,0,6231.99
24-Feb-2010,5384.02,5475.91,5356.55,5448.12,0,4953.15
25-Feb-2010,5456.21,5500.84,5406.56,5451.15,0,3237.14
26-Feb-2010,5438.78,5537.08,5436.41,5534.67,0,4001.69
01-Mar-2010,5533.52,5576.69,5518.07,5561.17,0,4471.23
02-Mar-2010,5584.7,5609.3,5515.72,5540.13,0,2828.52
03-Mar-2010,5529.91,5557.31,5479.89,5507.17,0,1012.54
04-Mar-2010,5519.82,5527.49,5507.57,5515.24,0,4162.29
05-Mar-2010,5525.38,5549.53,5437.16,5461.03,0,3501.6
08-Mar-2010,5452.03,5500.81,5309.07,5357.01,0,5979.24
09-Mar-2010,5382.71,5432.72,5344.65,5394.58,0,4200.98
10-Mar-2010,5391.46,5400.17,5345.55,5354.19,0,1531.04
11-Mar-2010,5355.78,5379.21,5254.76,5277.85,0,1331.12
12-Mar-2010,5284.87,5319.89,5226.59,5261.45,0,2627.33
15-Mar-2010,5255.65,5346.58,5216.89,5307.43,0,2606.93
