Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-2010,6504.33,6675.78,6483.76,6654.73,0,2755.37
04-Jan-2010,6653.97,6821.72,6613.24,6780.21,0,3119.96
05-Jan-2010,6774.47,6801.44,6644.03,6670.59,0,2139.92
06-Jan-2010,6668.91,6707.82,6618.02,6656.85,0,2371.25
07-Jan-2010,6655.34,6685.49,6624.44,6654.58,0,5355.17
08-Jan-2010,6657.25,6706.52,6565.03,6613.99,0,4416.02
11-Jan-2010,6612.33,6614.61,6516.85,6519.1,0,4268.63
12-Jan-2010,6507.02,6665.9,6463.02,6621.12,0,2563.74
13-Jan-2010,6630.63,6653.55,6579.62,6602.44,0,3017.45
14-Jan-2010,6599.57,6730.77,6513.01,6643.63,0,1924.44
15-Jan-2010,6641.37,6693.6,6616.63,6668.76,0,4964.6
18-Jan-2010,6666.24,6708.98,6627.86,6670.57,0,2926.86
19-Jan-2010,6657.83,6837.91,6648.83,6828.68,0,3329.54
20-Jan-2010,6838.93,6855.24,6705.51,6721.54,0,2834.18
21-Jan-2010,6741.79,6775.96,6601.13,6634.76,0,2768.55
22-Jan-2010,6642.03,6703.39,6623.19,6684.43,0,2172.9
25-Jan-2010,6703.05,6756.86,6677.09,6730.79,0,5014.1
26-Jan-2010,6751.72,6775.74,6715.06,6739.04,0,3360.75
27-Jan-2010,6739.39,6810.49,6591.69,6661.97,0,2370.83
28-Jan-2010,6649.29,6751.92,6584.49,6686.76,0,5023.17
29-Jan-2010,6707.68,6749.18,6667.54,6709.04,0,3239.25
01-Feb-2010,6705.89,6776.9,6667.63,6738.45,0,3229.03
02-Feb-2010,6737.29,6811.71,6699.86,6774.07,0,2772.68
03-Feb-2010,6787.76,6844.95,6759.58,6816.65,0,4741.64
04-Feb-2010,6819.76,6862.36,6772.14,6814.71,0,893.88
05-Feb-2010,6824.18,6880.59,6770.79,6827.18,0,3431.44
08-Feb-2010,6809.02,6964.05,6753.69,6907.92,0,3698.69
09-Feb-2010,6900.91,6958.19,6734.72,6791.09,0,2269.54
10-Feb-2010,6782.35,6852.52,6682.79,6752.65,0,1911.3
11-Feb-2010,6753.77,6841.53,6686.46,6774.02,0,3558.77
12-Feb-2010,6769.26,6835.0,6735.26,6800.84,0,2623.72
15-Feb-2010,6809.96,6851.58,6640.42,6681.25,0,3971.37
16-Feb-2010,6675.24,6688.17,6563.41,6576.15,0,3659.67
17-Feb-2010,6566.55,6589.29,6516.09,6538.73,0,4652.39
18-Feb-2010,6549.5,6609.78,6524.14,6584.28,0,2879.47
19-Feb-2010,6605.17,6639.01,6582.06,6615.86,0,4232.76
22-Feb-2010,6613.23,6623.54,6609.25,6619.56,0,5942.72
23-Feb-2010,6609.34,6704.01,6564.98,6659.31,0,3529.43
24-Feb-2010,6656.44,6750.87,6633.65,6727.84,0,1220.59
25-Feb-2010,6742.46,6812.6,6705.41,6775.37,0,2572.36
26-Feb-2010,6774.03,6946.5,6718.22,6889.74,0,3175.26
01-Mar-2010,6881.07,6961.08,6843.35,6923.14,0,3242.1
02-Mar-2010,6921.13,6946.09,6882.16,6907.06,0,2039.44
03-Mar-2010,6869.01,6935.89,6810.47,6877.28,0,2061.49
04-Mar-2010,6892.86,6897.39,6867.0,6871.51,0,3189.37
05-Mar-2010,6855.53,6907.58,6775.11,6826.95,0,4133.73
08-Mar-2010,6836.25,6869.55,6652.7,6685.27,0,2663.08
09-Mar-2010,6679.07,6788.49,6633.97,6742.96,0,4503.18
10-Mar-2010,6734.66,6784.48,6608.37,6657.61,0,4794.32
11-Mar-2010,6659.48,6725.94,6547.18,6613.17,0,2470.61
12-Mar-2010,6590.45,6671.05,6562.75,6643.13,0,3186.66
15-Mar-2010,6650.21,6731.05,6604.94,6685.53,0,2783.24
16-Mar-2010,6703.33,6826.59,6658.57,6781.3,0,2689.51
17-Mar-2010,6794.84,6891.94,6750.52,6847.28,0,3632.09
18-Mar-2010,6838.61,6891.8,6804.83,6857.94,0,829.88
19-Mar-2010,6851.5,6913.03,6772.58,6833.96,0,5736.28
22-Mar-2010,6838.31,6873.97,6729.1,6764.38,0,2528.64
23-Mar-2010,6758.37,6873.91,6755.04,6870.52,0,1970.53
24-Mar-2010,6877.22,6926.24,6716.96,6765.18,0,2548.16
25-Mar-2010,6752.34,6852.86,6724.97,6825.19,0,1630.68
26-Mar-2010,6841.96,7107.59,6794.92,7059.06,0,3734.18
29-Mar-2010,7041.56,7125.35,6905.86,6989.03,0,1316.07
30-Mar-2010,6991.69,7022.22,6946.93,6977.39,0,3197.94
31-Mar-2010,6994.68,7114.65,6948.46,7067.93,0,1582.81
01-Apr-2010,7070.86,7127.96,6933.02,6989.46,0,4363.91
02-Apr-2010,6976.8,6988.18,6807.29,6818.4,0,3903.27
05-Apr-2010,6818.54,6924.06,6739.21,6844.43,0,2511.92
06-Apr-2010,6823.49,6931.57,6775.15,6882.82,0,3301.89
07-Apr-2010,6866.5,7054.16,6796.19,6982.66,0,2168.24
08-Apr-2010,7020.08,7072.32,6947.25,6999.34,0,2145.0
09-Apr-2010,7026.68,7037.45,7019.86,7030.63,0,3266.49
12-Apr-2010,7055.42,7176.14,6999.34,7119.56,0,3438.65
13-Apr-2010,7114.0,7158.17,7071.75,7115.9,0,6139.98
14-Apr-2010,7108.45,7169.34,7028.52,7089.24,0,1897.72
15-Apr-2010,7089.72,7117.63,7013.1,7040.82,0,2251.02
16-Apr-2010,6994.51,7023.94,6891.39,6920.51,0,2103.94
19-Apr-2010,6925.89,6975.71,6914.9,6964.65,0,3271.64
20-Apr-2010,6956.49,7025.19,6939.06,7007.63,0,2863.76
21-Apr-2010,7005.65,7050.15,6920.05,6964.29,0,4288.94
22-Apr-2010,6967.9,7015.17,6918.17,6965.41,0,2465.79
23-Apr-2010,6967.14,7035.69,6870.73,6939.01,0,2503.14
26-Apr-2010,6952.28,6994.76,6824.75,6866.71,0,5085.28
27-Apr-2010,6861.41,6968.01,6806.78,6912.97,0,2129.91
28-Apr-2010,6922.49,6975.43,6789.04,6841.35,0,5296.87
29-Apr-2010,6847.23,6957.07,6828.26,6937.85,0,4044.03
30-Apr-2010,6926.37,6999.16,6894.09,6966.69,0,4193.06
03-May-2010,6959.4,7128.52,6948.35,7117.22,0,1442.12
04-May-2010,7123.43,7252.12,7093.47,7221.75,0,2208.23
05-May-2010,7228.35,7420.2,7176.52,7367.37,0,3933.9
06-May-2010,7345.42,7377.15,7281.31,7312.9,0,3383.92
07-May-2010,7315.65,7354.21,7219.54,7257.8,0,4039.33
10-May-2010,7279.95,7316.43,7218.68,7255.04,0,4321.03
11-May-2010,7252.49,7289.23,7098.73,7134.88,0,6379.68
12-May-2010,7165.62,7194.67,7104.54,7133.46,0,3370.24
13-May-2010,7142.16,7175.65,7103.73,7137.2,0,2250.61
14-May-2010,7163.01,7292.17,7108.63,7237.23,0,3517.09
17-May-2010,7253.53,7264.22,7209.04,7219.69,0,3428.46
18-May-2010,7210.0,7314.47,7148.49,7252.6,0,1892.55
19-May-2010,7259.71,7347.76,7179.83,7267.8,0,4510.48
20-May-2010,7247.97,7321.28,7162.36,7235.54,0,3179.22
21-May-2010,7249.46,7401.03,7161.12,7311.93,0,3363.04
24-May-2010,7283.85,7296.0,7223.84,7235.9,0,3376.16
25-May-2010,7228.01,7343.73,7202.37,7317.76,0,3057.35
26-May-2010,7341.63,7397.84,7243.75,7299.64,0,1556.95
27-May-2010,7286.03,7315.48,7241.02,7270.41,0,1475.66
28-May-2010,7266.74,7394.6,7205.67,7332.97,0,1932.27
31-May-2010,7335.01,7377.9,7275.37,7318.16,0,2032.23
01-Jun-2010,7333.19,7406.37,7108.02,7179.67,0,1658.25
02-Jun-2010,7156.45,7232.86,6944.47,7019.41,0,2071.36
03-Jun-2010,7023.88,7183.04,6948.37,7106.64,0,2436.55
04-Jun-2010,7092.4,7131.97,7057.14,7096.68,0,3214.66
07-Jun-2010,7115.51,7178.98,6923.14,6985.45,0,9359.15
08-Jun-2010,6977.32,6994.74,6909.69,6926.98,0,7684.27
09-Jun-2010,6949.14,7061.47,6907.05,7018.96,0,4385.32
10-Jun-2010,7006.31,7093.71,6956.05,7043.19,0,4284.38
11-Jun-2010,7052.71,7071.27,7024.41,7042.95,0,3582.7
14-Jun-2010,7046.84,7101.75,7024.69,7079.49,0,5288.74
15-Jun-2010,7079.76,7153.29,6889.81,6962.12,0,2991.6
16-Jun-2010,6972.81,7036.69,6860.53,6923.96,0,3696.11
17-Jun-2010,6919.77,6981.29,6765.22,6825.91,0,2176.9
18-Jun-2010,6832.54,6975.83,6767.46,6910.01,0,5443.16
21-Jun-2010,6899.91,6984.04,6852.28,6936.16,0,5998.22
22-Jun-2010,6925.0,7000.03,6860.26,6935.2,0,2232.3
23-Jun-2010,6930.0,6940.88,6856.87,6867.64,0,2643.31
24-Jun-2010,6872.06,6918.93,6841.35,6888.15,0,2593.24
25-Jun-2010,6883.36,6937.93,6810.97,6865.4,0,4152.15
28-Jun-2010,6863.73,6910.71,6863.49,6910.48,0,2992.33
29-Jun-2010,6891.2,7030.65,6890.06,7029.49,0,1279.22
30-Jun-2010,7033.08,7167.45,6962.38,7096.12,0,3475.95
01-Jul-2010,7076.96,7138.04,7014.08,7075.14,0,2731.49
02-Jul-2010,7073.52,7091.38,6903.2,6920.68,0,3909.81
05-Jul-2010,6937.66,6956.32,6874.46,6893.0,0,2135.86
06-Jul-2010,6911.96,7062.66,6870.1,7020.15,0,2010.66
07-Jul-2010,7025.07,7088.47,6945.15,7008.41,0,7735.39
08-Jul-2010,6990.94,7063.16,6837.52,6908.88,0,1653.18
09-Jul-2010,6916.82,6959.33,6790.43,6832.42,0,2663.36
12-Jul-2010,6828.79,6854.68,6732.1,6757.72,0,3173.22
13-Jul-2010,6763.87,6869.64,6746.91,6852.46,0,1952.25
14-Jul-2010,6831.09,6832.62,6685.21,6686.7,0,4246.83
15-Jul-2010,6709.23,6735.73,6539.81,6565.74,0,2484.72
16-Jul-2010,6561.82,6607.1,6527.58,6572.79,0,2622.11
19-Jul-2010,6593.47,6614.31,6498.81,6519.41,0,2729.65
20-Jul-2010,6524.91,6567.96,6357.08,6399.3,0,1439.16
21-Jul-2010,6399.44,6449.41,6368.2,6418.08,0,3621.71
22-Jul-2010,6448.61,6485.41,6411.76,6448.56,0,8751.01
23-Jul-2010,6451.88,6533.17,6424.95,6506.02,0,5529.33
26-Jul-2010,6502.4,6533.23,6414.29,6444.85,0,2478.14
27-Jul-2010,6452.6,6479.71,6392.4,6419.37,0,2094.2
28-Jul-2010,6414.58,6483.42,6363.41,6432.1,0,6282.01
29-Jul-2010,6428.48,6470.73,6294.22,6335.86,0,5343.05
30-Jul-2010,6319.63,6379.28,6151.8,6210.42,0,2256.27
02-Aug-2010,6196.49,6215.27,6035.64,6053.99,0,2856.09
03-Aug-2010,6065.43,6207.43,6015.65,6156.9,0,3596.54
04-Aug-2010,6174.61,6210.56,6171.24,6207.18,0,3615.58
05-Aug-2010,6226.77,6324.81,6160.65,6258.36,0,2016.92
06-Aug-2010,6276.0,6299.15,6263.8,6286.93,0,5336.09
09-Aug-2010,6296.06,6348.5,6246.78,6299.2,0,2702.03
10-Aug-2010,6293.45,6334.52,6221.99,6262.86,0,5105.04
11-Aug-2010,6262.13,6292.36,6177.72,6207.68,0,4855.78
12-Aug-2010,6216.4,6246.56,6156.79,6186.8,0,4305.03
13-Aug-2010,6176.51,6239.46,6104.25,6167.11,0,1573.6
16-Aug-2010,6168.28,6176.36,6163.33,6171.41,0,2111.25
17-Aug-2010,6157.04,6172.4,6083.05,6098.27,0,3668.78
18-Aug-2010,6114.8,6136.07,6102.84,6124.09,0,4577.36
19-Aug-2010,6113.62,6265.8,6053.67,6204.95,0,3716.73
20-Aug-2010,6208.33,6346.14,6199.15,6336.78,0,1633.43
23-Aug-2010,6319.2,6350.91,6270.3,6301.92,0,1949.54
24-Aug-2010,6284.76,6469.74,6230.33,6414.19,0,1192.48
25-Aug-2010,6425.41,6476.11,6318.46,6368.71,0,5033.73
26-Aug-2010,6359.1,6387.11,6280.53,6308.32,0,3169.1
27-Aug-2010,6307.78,6308.7,6195.9,6196.81,0,3404.63
30-Aug-2010,6173.95,6243.92,6119.44,6189.26,0,4987.52
31-Aug-2010,6196.15,6211.01,6158.85,6173.66,0,2084.16
01-Sep-2010,6205.42,6236.57,6075.3,6105.96,0,2029.21
02-Sep-2010,6104.61,6228.52,6063.76,6187.12,0,1688.8
03-Sep-2010,6195.36,6299.99,6147.29,6251.48,0,1983.54
06-Sep-2010,6272.52,6296.81,6209.99,6234.13,0,3387.38
07-Sep-2010,6219.99,6350.16,6175.02,6304.57,0,2467.04
08-Sep-2010,6305.9,6357.32,6174.03,6224.79,0,4135.14
09-Sep-2010,6222.31,6306.13,6196.48,6280.06,0,1922.84
10-Sep-2010,6269.73,6426.42,6236.01,6392.04,0,2646.53
13-Sep-2010,6414.84,6473.27,6298.33,6356.23,0,3631.82
14-Sep-2010,6345.82,6460.73,6290.66,6405.05,0,3395.83
15-Sep-2010,6394.54,6421.76,6267.35,6294.15,0,1826.68
16-Sep-2010,6310.22,6398.13,6073.71,6159.53,0,2747.36
17-Sep-2010,6167.47,6221.16,6125.52,6179.12,0,2862.07
20-Sep-2010,6158.23,6316.92,6108.96,6266.78,0,3329.63
21-Sep-2010,6243.96,6305.23,6207.18,6268.31,0,2435.06
22-Sep-2010,6263.75,6310.96,6168.46,6215.31,0,3819.7
23-Sep-2010,6206.98,6239.56,6168.95,6201.49,0,2890.65
24-Sep-2010,6208.43,6337.56,6154.69,6283.18,0,2298.16
27-Sep-2010,6283.13,6335.98,6238.39,6291.17,0,2465.41
28-Sep-2010,6290.42,6307.22,6277.19,6293.99,0,4872.81
29-Sep-2010,6289.31,6315.72,6270.32,6296.7,0,4189.47
30-Sep-2010,6281.14,6299.75,6251.52,6270.1,0,2049.1
01-Oct-2010,6292.21,6307.73,6222.63,6238.02,0,3310.34
04-Oct-2010,6239.91,6264.73,6184.17,6208.86,0,3290.03
05-Oct-2010,6202.98,6246.6,6115.98,6159.3,0,3443.06
06-Oct-2010,6159.94,6190.76,6142.6,6173.38,0,2517.85
07-Oct-2010,6160.25,6212.08,6159.33,6211.16,0,2301.9
08-Oct-2010,6216.76,6298.51,6204.02,6285.63,0,2979.08
11-Oct-2010,6277.83,6368.88,6231.01,6321.74,0,3784.73
12-Oct-2010,6340.01,6393.37,6307.35,6360.6,0,2153.45
13-Oct-2010,6359.71,6421.48,6322.9,6384.54,0,2333.11
14-Oct-2010,6375.7,6508.31,6324.6,6456.56,0,3408.29
15-Oct-2010,6439.81,6493.92,6295.88,6349.23,0,2794.2
18-Oct-2010,6322.05,6396.06,6282.08,6355.87,0,3623.3
19-Oct-2010,6369.71,6442.58,6333.63,6406.29,0,3338.25
20-Oct-2010,6393.52,6416.57,6372.16,6395.2,0,5826.52
21-Oct-2010,6378.02,6545.69,6313.38,6480.01,0,5181.93
22-Oct-2010,6482.64,6600.03,6442.11,6559.01,0,4034.78
25-Oct-2010,6564.73,6684.32,6548.35,6667.69,0,2469.65
26-Oct-2010,6655.93,6692.38,6625.7,6662.12,0,1490.66
27-Oct-2010,6639.62,6762.31,6572.3,6694.44,0,2830.49
28-Oct-2010,6688.06,6773.88,6554.38,6639.58,0,2836.98
29-Oct-2010,6663.32,6690.93,6619.84,6647.39,0,2754.98
01-Nov-2010,6653.56,6689.6,6551.11,6586.78,0,3566.2
02-Nov-2010,6570.2,6656.05,6504.86,6590.51,0,1409.15
03-Nov-2010,6584.31,6675.26,6542.09,6632.73,0,4781.0
04-Nov-2010,6645.54,6804.49,6599.02,6757.19,0,2883.17
05-Nov-2010,6767.26,6897.51,6721.34,6851.03,0,4288.43
08-Nov-2010,6842.87,6883.94,6748.77,6789.52,0,2427.02
09-Nov-2010,6783.6,6849.88,6729.66,6795.84,0,1097.33
10-Nov-2010,6794.52,6825.34,6775.67,6806.46,0,2748.13
11-Nov-2010,6817.29,6823.45,6733.55,6739.64,0,2002.13
12-Nov-2010,6710.04,6855.46,6687.91,6832.93,0,3700.75
15-Nov-2010,6851.13,6890.05,6783.53,6822.29,0,3480.77
16-Nov-2010,6832.34,6851.63,6672.25,6691.14,0,9461.63
17-Nov-2010,6686.66,6767.13,6629.88,6710.15,0,2436.83
18-Nov-2010,6712.69,6762.12,6605.47,6654.47,0,2758.09
19-Nov-2010,6661.78,6688.87,6610.43,6637.42,0,3628.56
22-Nov-2010,6642.0,6675.74,6512.76,6546.0,0,4640.69
