Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-2010,3007.71,3075.55,3003.37,3071.12,0,3519.35
04-Jan-2010,3061.62,3143.72,3033.58,3115.19,0,5115.5
05-Jan-2010,3119.6,3146.23,3018.06,3044.04,0,3072.1
06-Jan-2010,3042.23,3066.61,3007.89,3032.19,0,4121.78
07-Jan-2010,3030.33,3059.17,2995.41,3024.18,0,6013.54
08-Jan-2010,3022.19,3051.0,2981.73,3010.44,0,2266.63
11-Jan-2010,3013.11,3031.49,2942.96,2961.02,0,4363.96
12-Jan-2010,2957.25,3019.11,2942.52,3004.15,0,6534.54
13-Jan-2010,3001.57,3034.63,2961.21,2994.19,0,2696.1
14-Jan-2010,2989.56,3017.51,2979.39,3007.28,0,1783.49
15-Jan-2010,3011.6,3027.7,2999.52,3015.6,0,2894.55
18-Jan-2010,3022.17,3051.46,3007.24,3036.46,0,2601.31
19-Jan-2010,3043.79,3130.5,3024.24,3110.53,0,2346.59
20-Jan-2010,3113.5,3133.53,3042.85,3062.55,0,3289.17
21-Jan-2010,3070.24,3084.06,3015.71,3029.35,0,2432.88
22-Jan-2010,3037.76,3080.61,3008.72,3051.43,0,2758.36
25-Jan-2010,3047.75,3100.16,3024.43,3076.62,0,3444.56
26-Jan-2010,3083.97,3113.28,3054.17,3083.48,0,2889.48
27-Jan-2010,3092.01,3119.17,3017.34,3044.07,0,1990.46
28-Jan-2010,3033.46,3078.17,3005.52,3050.08,0,2411.71
29-Jan-2010,3054.17,3082.07,3039.72,3067.56,0,2632.1
01-Feb-2010,3067.47,3101.84,3053.95,3088.23,0,2956.62
02-Feb-2010,3079.39,3117.83,3072.97,3111.35,0,3505.83
03-Feb-2010,3122.26,3156.9,3095.06,3129.64,0,1602.04
04-Feb-2010,3138.49,3156.37,3117.41,3135.27,0,4225.77
05-Feb-2010,3134.61,3137.87,3130.25,3133.5,0,3506.47
08-Feb-2010,3128.62,3182.95,3096.96,3151.06,0,2315.94
09-Feb-2010,3161.58,3181.84,3084.03,3103.92,0,2945.23
10-Feb-2010,3098.94,3119.02,3069.33,3089.35,0,5683.69
11-Feb-2010,3082.05,3147.68,3058.22,3123.53,0,3434.51
12-Feb-2010,3123.2,3149.57,3101.3,3127.63,0,3902.68
15-Feb-2010,3137.56,3159.73,3054.51,3076.26,0,5018.97
16-Feb-2010,3073.55,3088.76,3035.91,3051.0,0,4453.8
17-Feb-2010,3050.65,3061.99,3019.62,3030.89,0,3423.14
18-Feb-2010,3017.69,3076.28,2982.31,3040.63,0,2960.12
19-Feb-2010,3028.58,3046.64,3005.66,3023.7,0,2640.29
22-Feb-2010,3030.15,3045.15,3024.81,3039.8,0,2478.23
23-Feb-2010,3046.42,3056.07,3040.11,3049.75,0,3294.11
24-Feb-2010,3043.22,3116.4,3022.3,3095.12,0,2220.4
25-Feb-2010,3091.07,3136.16,3056.24,3101.2,0,1807.57
26-Feb-2010,3106.2,3197.21,3066.5,3156.86,0,5775.72
01-Mar-2010,3147.83,3161.55,3139.05,3152.76,0,2526.57
02-Mar-2010,3147.79,3188.03,3104.65,3144.86,0,2899.14
03-Mar-2010,3146.45,3175.85,3103.46,3132.73,0,2379.43
04-Mar-2010,3137.54,3149.46,3125.08,3137.0,0,4100.59
05-Mar-2010,3132.35,3134.97,3115.07,3117.68,0,1561.36
08-Mar-2010,3112.13,3130.54,3030.71,3048.75,0,2466.72
09-Mar-2010,3053.46,3105.9,3035.3,3087.53,0,2512.24
10-Mar-2010,3080.43,3104.31,3050.36,3074.19,0,2150.01
11-Mar-2010,3074.31,3095.58,3013.68,3034.67,0,1667.13
12-Mar-2010,3034.29,3057.52,3007.87,3031.08,0,5793.69
15-Mar-2010,3029.61,3070.37,3010.74,3051.36,0,1909.19
16-Mar-2010,3050.23,3108.17,3034.09,3091.81,0,1510.35
17-Mar-2010,3090.11,3132.34,3081.56,3123.69,0,1168.52
18-Mar-2010,3133.21,3144.17,3111.23,3122.15,0,1630.7
19-Mar-2010,3115.84,3140.54,3090.21,3114.91,0,1881.08
22-Mar-2010,3115.99,3119.34,3086.25,3089.58,0,2795.15
23-Mar-2010,3098.13,3142.08,3097.03,3140.96,0,3566.6
24-Mar-2010,3137.22,3179.37,3074.1,3115.97,0,2186.52
25-Mar-2010,3123.77,3143.43,3110.77,3130.41,0,1595.27
26-Mar-2010,3148.61,3250.94,3121.15,3222.83,0,4874.67
29-Mar-2010,3232.43,3251.55,3171.54,3190.41,0,3463.56
30-Mar-2010,3180.36,3211.5,3155.48,3186.57,0,4235.5
31-Mar-2010,3185.82,3269.98,3154.16,3237.8,0,1515.26
01-Apr-2010,3233.89,3270.54,3173.11,3209.49,0,4616.84
02-Apr-2010,3211.8,3219.2,3156.86,3164.15,0,5213.55
05-Apr-2010,3156.29,3182.49,3148.66,3174.82,0,2259.0
06-Apr-2010,3173.24,3227.72,3139.53,3193.79,0,2107.89
07-Apr-2010,3197.85,3263.3,3176.68,3241.84,0,2204.26
08-Apr-2010,3233.05,3243.35,3218.23,3228.51,0,3006.45
09-Apr-2010,3241.12,3273.84,3219.85,3252.5,0,2921.58
12-Apr-2010,3248.59,3323.03,3220.15,3294.18,0,3183.15
13-Apr-2010,3300.0,3308.38,3291.19,3299.57,0,3839.72
14-Apr-2010,3305.37,3330.13,3298.08,3322.8,0,1968.06
15-Apr-2010,3317.62,3344.12,3296.48,3322.94,0,1945.53
16-Apr-2010,3313.51,3334.99,3226.45,3247.51,0,6266.95
19-Apr-2010,3238.55,3299.85,3213.91,3274.93,0,3818.24
20-Apr-2010,3279.54,3330.78,3250.49,3301.53,0,1989.84
21-Apr-2010,3305.8,3313.72,3280.94,3288.81,0,3555.47
22-Apr-2010,3274.1,3314.77,3249.0,3289.56,0,6584.45
