Date,FII Gross Purchase (Rs. Cr),FII Gross Sales (Rs. Cr),DII Gross Purchase (Rs. Cr),DII Gross Sales (Rs. Cr),FII Net (Rs. Cr),DII Net (Rs. Cr)
01-Jan-2010,5680.27,4355.31,5792.34,3331.32,1324.96,2461.02
04-Jan-2010,3377.06,4898.48,4035.02,3836.94,-1521.42,198.08
05-Jan-2010,2755.48,3772.64,4373.56,2310.3,-1017.16,2063.26
06-Jan-2010,2626.94,6002.31,5680.62,3028.93,-3375.37,2651.69
07-Jan-2010,8204.29,4889.62,4468.98,3645.18,3314.67,823.8
08-Jan-2010,4394.11,2363.06,2761.84,5004.37,2031.05,-2242.53
11-Jan-2010,4339.15,2814.83,3467.81,3733.43,1524.32,-265.62
12-Jan-2010,1722.81,4303.08,2406.22,1704.07,-2580.27,702.15
13-Jan-2010,2170.59,4375.53,3574.38,7288.01,-2204.94,-3713.63
14-Jan-2010,5607.75,5494.04,5401.55,9078.04,113.71,-3676.49
15-Jan-2010,6456.04,4634.98,2075.48,3722.66,1821.06,-1647.18
18-Jan-2010,2046.63,1997.85,1807.6,2481.19,48.78,-673.59
19-Jan-2010,4741.14,4315.74,3173.7,4500.85,425.4,-1327.15
20-Jan-2010,5591.29,2545.08,7243.19,2877.87,3046.21,4365.32
21-Jan-2010,3789.21,2950.73,3737.74,3521.26,838.48,216.48
22-Jan-2010,2480.31,2164.73,5866.87,2809.1,315.58,3057.77
25-Jan-2010,3417.38,3427.01,4463.71,3802.96,-9.63,660.75
26-Jan-2010,4023.82,9428.61,3112.76,3139.46,-5404.79,-26.7
27-Jan-2010,7080.87,3909.17,4333.24,4516.32,3171.7,-183.08
28-Jan-2010,6849.14,6097.95,4705.06,5115.92,751.19,-410.86
29-Jan-2010,2120.81,3358.72,1815.24,4875.81,-1237.91,-3060.57
01-Feb-2010,7170.73,3107.89,4371.36,5429.6,4062.84,-1058.24
02-Feb-2010,8326.17,5032.51,4248.97,5519.0,3293.66,-1270.03
03-Feb-2010,3442.43,6011.41,2880.25,1829.15,-2568.98,1051.1
04-Feb-2010,1073.99,10338.09,3487.93,1687.72,-9264.1,1800.21
05-Feb-2010,4836.6,3970.37,2979.42,1964.31,866.23,1015.11
08-Feb-2010,3718.29,4186.68,3187.2,3374.48,-468.39,-187.28
09-Feb-2010,8045.82,5206.26,4464.85,3514.26,2839.56,950.59
10-Feb-2010,4024.28,4657.6,5462.68,5734.85,-633.32,-272.17
11-Feb-2010,4242.84,3772.24,3039.04,3655.97,470.6,-616.93
12-Feb-2010,9412.89,2905.56,3828.06,1645.03,6507.33,2183.03
15-Feb-2010,6649.3,3738.76,3325.67,1943.87,2910.54,1381.8
16-Feb-2010,3015.19,5447.05,6065.86,3986.31,-2431.86,2079.55
17-Feb-2010,3969.96,5459.29,3752.73,4502.56,-1489.33,-749.83
18-Feb-2010,4504.07,9316.2,3722.98,5966.95,-4812.13,-2243.97
19-Feb-2010,5011.45,6925.46,4337.62,4656.01,-1914.01,-318.39
22-Feb-2010,3670.24,5777.78,3029.86,4102.25,-2107.54,-1072.39
23-Feb-2010,3869.89,4693.74,3999.14,3166.64,-823.85,832.5
24-Feb-2010,3289.17,6669.55,4865.21,2740.75,-3380.38,2124.46
25-Feb-2010,5023.28,4798.05,2480.08,2852.87,225.23,-372.79
26-Feb-2010,7721.48,5525.54,4332.62,4406.09,2195.94,-73.47
01-Mar-2010,10286.41,5731.28,4137.09,2385.71,4555.13,1751.38
02-Mar-2010,2870.77,3052.64,2040.76,2133.62,-181.87,-92.86
03-Mar-2010,2433.45,6587.23,5401.82,5266.37,-4153.78,135.45
04-Mar-2010,5180.34,12560.41,4067.26,3187.19,-7380.07,880.07
05-Mar-2010,4085.08,4566.24,3349.48,3539.24,-481.16,-189.76
08-Mar-2010,4106.29,4361.11,3281.5,2333.18,-254.82,948.32
09-Mar-2010,5318.83,3292.01,4797.44,8050.9,2026.82,-3253.46
10-Mar-2010,4175.59,5208.86,1696.57,1745.57,-1033.27,-49.0
11-Mar-2010,4308.77,3661.61,4502.79,3500.99,647.16,1001.8
12-Mar-2010,1521.8,8690.81,1787.74,3618.32,-7169.01,-1830.58
15-Mar-2010,4195.46,1668.37,4956.0,3670.55,2527.09,1285.45
16-Mar-2010,4732.96,6808.27,3618.48,5386.18,-2075.31,-1767.7
17-Mar-2010,6583.2,3304.88,4537.23,3400.94,3278.32,1136.29
18-Mar-2010,7055.83,9722.58,3118.76,4890.02,-2666.75,-1771.26
19-Mar-2010,3533.81,4163.53,2331.13,4771.13,-629.72,-2440.0
22-Mar-2010,5965.59,6403.0,3138.0,3267.38,-437.41,-129.38
23-Mar-2010,8447.78,6257.12,5211.84,4007.82,2190.66,1204.02
24-Mar-2010,4738.35,6942.57,5560.02,2815.42,-2204.22,2744.6
25-Mar-2010,3571.99,2289.89,1862.06,2757.4,1282.1,-895.34
26-Mar-2010,4660.85,2809.06,2697.94,4040.06,1851.79,-1342.12
29-Mar-2010,3604.51,4278.02,3035.81,2432.03,-673.51,603.78
30-Mar-2010,1974.76,9190.13,5710.86,4624.04,-7215.37,1086.82
31-Mar-2010,5584.12,2148.65,3516.7,3076.35,3435.47,440.35
01-Apr-2010,9600.14,4423.55,3954.23,3329.38,5176.59,624.85
02-Apr-2010,4789.46,4338.95,3609.53,2703.78,450.51,905.75
05-Apr-2010,5182.79,3978.52,5123.93,2808.37,1204.27,2315.56
06-Apr-2010,3530.29,3727.98,7758.84,1523.31,-197.69,6235.53
07-Apr-2010,2442.54,3589.47,3330.53,5111.0,-1146.93,-1780.47
08-Apr-2010,5554.66,4025.38,5689.28,3971.54,1529.28,1717.74
09-Apr-2010,3554.85,6467.09,2732.63,3377.6,-2912.24,-644.97
12-Apr-2010,5523.6,6202.78,3629.03,2445.15,-679.18,1183.88
13-Apr-2010,4963.98,10146.37,3408.08,5773.4,-5182.39,-2365.32
14-Apr-2010,5031.08,8333.11,3995.86,1413.4,-3302.03,2582.46
15-Apr-2010,11546.41,5031.96,2809.72,5166.78,6514.45,-2357.06
16-Apr-2010,4628.53,4632.69,5482.62,2194.84,-4.16,3287.78
19-Apr-2010,1810.56,5470.85,1959.43,1895.67,-3660.29,63.76
20-Apr-2010,2818.34,10929.03,3564.25,2752.67,-8110.69,811.58
21-Apr-2010,4132.82,4527.51,2509.46,4384.37,-394.69,-1874.91
22-Apr-2010,5286.8,3043.76,6433.29,5055.17,2243.04,1378.12
23-Apr-2010,6881.26,4278.76,2762.88,4129.98,2602.5,-1367.1
26-Apr-2010,4919.04,9029.12,5268.01,5847.03,-4110.08,-579.02
27-Apr-2010,5203.65,3727.09,4643.25,4370.89,1476.56,272.36
28-Apr-2010,6923.58,3349.64,3015.19,3076.57,3573.94,-61.38
29-Apr-2010,4410.34,2237.63,3679.69,4105.43,2172.71,-425.74
30-Apr-2010,2901.86,4358.61,4290.55,4478.73,-1456.75,-188.18
03-May-2010,3931.14,5795.61,1467.24,6861.58,-1864.47,-5394.34
04-May-2010,3991.69,3300.47,4198.72,3383.96,691.22,814.76
05-May-2010,4521.43,2467.76,3486.78,2664.38,2053.67,822.4
06-May-2010,7869.18,5074.05,4985.96,2946.54,2795.13,2039.42
07-May-2010,4613.63,4130.91,3823.01,4375.95,482.72,-552.94
10-May-2010,4509.1,1915.83,3440.57,4783.65,2593.27,-1343.08
11-May-2010,4862.89,6326.25,2475.45,4016.19,-1463.36,-1540.74
