Month,SIP Contributions (Rs. Cr),SIP Accounts (Lakh),SIP AUM (Rs. Cr)
Jan-2010,745.0,73.92,8938.0
Feb-2010,768.0,66.65,9249.0
Mar-2010,1527.0,67.27,18471.0
Apr-2010,323.0,77.41,3914.0
May-2010,763.0,80.46,9291.0
Jun-2010,749.0,80.13,9133.0
Jul-2010,976.0,79.64,11936.0
Aug-2010,750.0,70.76,9175.0
Sep-2010,609.0,81.21,7458.0
Oct-2010,448.0,73.86,5477.0
Nov-2010,1145.0,83.64,13993.0
Dec-2010,486.0,82.59,5930.0
Jan-2011,1387.0,85.01,16871.0
Feb-2011,1188.0,76.01,14402.0
Mar-2011,961.0,81.23,11603.0
Apr-2011,1269.0,76.36,15268.0
May-2011,1396.0,80.78,16730.0
Jun-2011,770.0,71.37,9193.0
Jul-2011,1887.0,88.64,22439.0
Aug-2011,1397.0,90.96,16558.0
Sep-2011,743.0,78.67,8785.0
Oct-2011,1471.0,82.21,17350.0
Nov-2011,1710.0,84.0,20131.0
Dec-2011,1800.0,73.68,21176.0
Jan-2012,920.0,86.52,10823.0
Feb-2012,1310.0,101.19,15418.0
Mar-2012,1402.0,88.06,16524.0
Apr-2012,1447.0,92.0,17091.0
May-2012,1493.0,87.24,17690.0
Jun-2012,1708.0,96.03,20305.0
Jul-2012,925.0,93.06,11039.0
Aug-2012,1808.0,90.16,21661.0
Sep-2012,1961.0,95.0,23593.0
Oct-2012,2157.0,93.45,26046.0
Nov-2012,1254.0,94.83,15193.0
Dec-2012,2511.0,100.3,30529.0
Jan-2013,2291.0,95.68,27933.0
Feb-2013,2144.0,91.67,26186.0
Mar-2013,2298.0,98.77,28116.0
Apr-2013,2334.0,98.01,28569.0
May-2013,2881.0,104.89,35259.0
Jun-2013,2580.0,96.47,31544.0
Jul-2013,2487.0,103.51,30353.0
Aug-2013,1954.0,104.88,23793.0
Sep-2013,3395.0,103.28,41215.0
Oct-2013,2589.0,100.29,31323.0
Nov-2013,2497.0,104.29,30103.0
Dec-2013,2406.0,112.92,28892.0
Jan-2014,2182.0,110.72,26089.0
Feb-2014,3429.0,102.81,40843.0
Mar-2014,3215.0,115.41,38157.0
Apr-2014,3215.0,114.93,38042.0
May-2014,3147.0,106.11,37142.0
Jun-2014,3408.0,111.55,40141.0
Jul-2014,3411.0,112.97,40135.0
Aug-2014,2538.0,116.01,29851.0
Sep-2014,3896.0,111.38,45832.0
Oct-2014,3872.0,121.15,45607.0
Nov-2014,3561.0,119.2,42025.0
Dec-2014,3682.0,116.22,43574.0
Jan-2015,3739.0,109.35,44386.0
Feb-2015,4008.0,116.52,47752.0
Mar-2015,3861.0,109.01,46174.0
Apr-2015,4137.0,120.54,49681.0
May-2015,3950.0,116.94,47621.0
Jun-2015,3877.0,120.91,46919.0
Jul-2015,4164.0,113.4,50564.0
Aug-2015,4138.0,117.94,50391.0
Sep-2015,4564.0,120.43,55714.0
Oct-2015,4845.0,137.62,59243.0
Nov-2015,4963.0,115.38,60733.0
Dec-2015,4198.0,115.06,51386.0
Jan-2016,4174.0,126.12,51050.0
Feb-2016,5026.0,115.28,61387.0
Mar-2016,5114.0,119.25,62333.0
Apr-2016,5221.0,121.61,63465.0
May-2016,4722.0,125.96,57218.0
Jun-2016,6098.0,125.13,73625.0
Jul-2016,5263.0,119.26,63287.0
Aug-2016,5112.0,134.34,61233.0
Sep-2016,5618.0,136.59,67032.0
Oct-2016,5855.0,129.86,69594.0
Nov-2016,5919.0,128.55,70125.0
Dec-2016,5670.0,128.27,66986.0
Jan-2017,5853.0,126.96,68992.0
Feb-2017,5838.0,135.82,68706.0
Mar-2017,6234.0,143.85,73315.0
Apr-2017,6068.0,140.9,71368.0
May-2017,5886.0,137.51,69291.0
Jun-2017,6320.0,131.98,74519.0
Jul-2017,6572.0,137.32,77675.0
Aug-2017,6293.0,131.2,74602.0
Sep-2017,6623.0,144.82,78780.0
Oct-2017,6418.0,139.48,76635.0
Nov-2017,7311.0,133.89,87645.0
Dec-2017,7108.0,134.07,85551.0
Jan-2018,7645.0,144.03,92371.0
Feb-2018,7491.0,137.71,90838.0
Mar-2018,7578.0,137.6,92173.0
Apr-2018,7625.0,140.61,92987.0
May-2018,7632.0,155.31,93259.0
Jun-2018,7515.0,145.68,91935.0
Jul-2018,7926.0,147.17,97011.0
Aug-2018,8040.0,152.61,98378.0
Sep-2018,8433.0,145.52,103075.0
Oct-2018,8317.0,153.2,101475.0
Nov-2018,7865.0,158.23,95717.0
Dec-2018,8345.0,150.02,101251.0
Jan-2019,8095.0,151.37,97881.0
Feb-2019,8630.0,145.92,103952.0
Mar-2019,8517.0,142.84,102185.0
Apr-2019,8450.0,152.18,100979.0
May-2019,9014.0,147.55,107312.0
Jun-2019,9290.0,153.62,110210.0
Jul-2019,9143.0,151.95,108131.0
Aug-2019,9944.0,154.88,117307.0
Sep-2019,10282.0,159.13,121071.0
Oct-2019,9898.0,153.15,116435.0
Nov-2019,9857.0,155.05,115918.0
Dec-2019,9808.0,159.0,115410.0
Jan-2020,10028.0,167.88,118153.0
Feb-2020,9522.0,166.02,112429.0
Mar-2020,9342.0,165.73,110599.0
Apr-2020,10352.0,158.01,122963.0
May-2020,9880.0,163.37,117781.0
Jun-2020,10596.0,157.38,126811.0
Jul-2020,9342.0,160.09,112258.0
Aug-2020,10960.0,163.84,132209.0
Sep-2020,11866.0,165.6,143678.0
Oct-2020,10836.0,175.49,131646.0
Nov-2020,11338.0,171.59,138133.0
Dec-2020,10889.0,176.87,132962.0
Jan-2021,11392.0,175.46,139318.0
Feb-2021,11673.0,168.61,142860.0
Mar-2021,12272.0,169.17,150201.0
Apr-2021,11675.0,169.86,142784.0
May-2021,11741.0,169.1,143375.0
Jun-2021,12586.0,171.27,153353.0
Jul-2021,11930.0,170.15,144946.0
Aug-2021,12610.0,166.12,152708.0
Sep-2021,12480.0,180.51,150573.0
Oct-2021,12748.0,181.33,153206.0
Nov-2021,13186.0,182.76,157833.0
Dec-2021,13046.0,188.43,155554.0
Jan-2022,12954.0,176.78,153893.0
Feb-2022,13227.0,183.79,156620.0
