Date,CPI Combined Index
01-Jan-2010,100.32
01-Feb-2010,100.79
01-Mar-2010,101.07
01-Apr-2010,101.24
01-May-2010,101.23
01-Jun-2010,101.3
01-Jul-2010,101.55
01-Aug-2010,101.77
01-Sep-2010,101.73
01-Oct-2010,102.3
01-Nov-2010,102.25
01-Dec-2010,102.74
01-Jan-2011,103.04
01-Feb-2011,103.42
01-Mar-2011,103.65
01-Apr-2011,104.1
01-May-2011,104.64
01-Jun-2011,105.25
01-Jul-2011,105.64
01-Aug-2011,106.18
01-Sep-2011,106.56
01-Oct-2011,106.83
01-Nov-2011,107.04
01-Dec-2011,107.49
01-Jan-2012,108.31
01-Feb-2012,108.94
01-Mar-2012,109.58
01-Apr-2012,109.64
01-May-2012,110.13
01-Jun-2012,110.5
01-Jul-2012,111.32
01-Aug-2012,111.47
01-Sep-2012,112.33
01-Oct-2012,112.73
01-Nov-2012,113.62
01-Dec-2012,114.21
01-Jan-2013,114.67
01-Feb-2013,115.08
01-Mar-2013,115.95
01-Apr-2013,115.92
01-May-2013,116.56
01-Jun-2013,117.04
01-Jul-2013,117.3
01-Aug-2013,117.43
01-Sep-2013,118.13
01-Oct-2013,118.42
01-Nov-2013,118.83
01-Dec-2013,118.73
01-Jan-2014,119.0
01-Feb-2014,119.02
01-Mar-2014,119.45
01-Apr-2014,119.52
01-May-2014,120.11
01-Jun-2014,121.05
01-Jul-2014,121.51
01-Aug-2014,122.07
01-Sep-2014,122.7
01-Oct-2014,123.46
01-Nov-2014,123.83
01-Dec-2014,124.19
01-Jan-2015,124.13
01-Feb-2015,124.33
01-Mar-2015,124.61
01-Apr-2015,124.62
01-May-2015,125.3
01-Jun-2015,125.91
01-Jul-2015,126.27
01-Aug-2015,126.58
01-Sep-2015,126.68
01-Oct-2015,127.02
01-Nov-2015,127.37
01-Dec-2015,127.34
01-Jan-2016,128.29
01-Feb-2016,128.54
01-Mar-2016,129.41
01-Apr-2016,129.96
01-May-2016,130.55
01-Jun-2016,130.88
01-Jul-2016,131.15
01-Aug-2016,131.47
01-Sep-2016,131.95
01-Oct-2016,132.6
01-Nov-2016,133.16
01-Dec-2016,133.53
01-Jan-2017,134.09
01-Feb-2017,134.53
01-Mar-2017,134.97
01-Apr-2017,136.1
01-May-2017,136.62
01-Jun-2017,137.13
01-Jul-2017,137.58
01-Aug-2017,138.08
01-Sep-2017,138.29
01-Oct-2017,138.62
01-Nov-2017,139.83
01-Dec-2017,140.23
01-Jan-2018,140.76
01-Feb-2018,141.36
01-Mar-2018,142.3
01-Apr-2018,143.16
01-May-2018,144.04
01-Jun-2018,144.57
01-Jul-2018,145.0
01-Aug-2018,145.68
01-Sep-2018,146.36
01-Oct-2018,147.03
01-Nov-2018,147.88
01-Dec-2018,149.01
01-Jan-2019,149.41
01-Feb-2019,150.28
01-Mar-2019,150.99
01-Apr-2019,151.43
01-May-2019,152.26
01-Jun-2019,153.1
01-Jul-2019,153.88
01-Aug-2019,154.52
01-Sep-2019,154.78
01-Oct-2019,155.82
01-Nov-2019,156.39
01-Dec-2019,156.87
01-Jan-2020,157.14
01-Feb-2020,157.63
01-Mar-2020,158.34
01-Apr-2020,158.81
01-May-2020,159.39
01-Jun-2020,159.84
01-Jul-2020,160.36
01-Aug-2020,160.68
01-Sep-2020,161.63
01-Oct-2020,162.42
01-Nov-2020,163.17
01-Dec-2020,164.01
01-Jan-2021,164.65
01-Feb-2021,164.68
01-Mar-2021,165.42
01-Apr-2021,166.11
01-May-2021,166.75
01-Jun-2021,167.6
01-Jul-2021,168.11
01-Aug-2021,168.78
01-Sep-2021,169.94
01-Oct-2021,170.33
01-Nov-2021,171.36
01-Dec-2021,172.12
01-Jan-2022,172.62
01-Feb-2022,173.13
01-Mar-2022,174.07
01-Apr-2022,174.86
01-May-2022,175.53
01-Jun-2022,176.25
01-Jul-2022,176.99
01-Aug-2022,177.72
01-Sep-2022,178.77
01-Oct-2022,179.39
01-Nov-2022,179.9
01-Dec-2022,181.04
01-Jan-2023,181.98
01-Feb-2023,182.52
01-Mar-2023,183.73
01-Apr-2023,184.27
01-May-2023,185.23
01-Jun-2023,185.96
01-Jul-2023,187.21
01-Aug-2023,187.78
01-Sep-2023,188.44
01-Oct-2023,189.33
01-Nov-2023,190.16
01-Dec-2023,191.27
01-Jan-2024,192.04
01-Feb-2024,192.7
01-Mar-2024,192.9
01-Apr-2024,193.53
01-May-2024,194.58
01-Jun-2024,195.84
01-Jul-2024,197.06
01-Aug-2024,197.74
01-Sep-2024,198.4
01-Oct-2024,198.79
01-Nov-2024,200.14
01-Dec-2024,200.84
01-Jan-2025,201.98
01-Feb-2025,203.1
01-Mar-2025,203.22
01-Apr-2025,203.87
01-May-2025,204.42
01-Jun-2025,205.74
01-Jul-2025,206.4
01-Aug-2025,207.23
01-Sep-2025,208.0
01-Oct-2025,208.85
01-Nov-2025,209.15
01-Dec-2025,209.57
01-Jan-2026,210.14
01-Feb-2026,210.41
01-Mar-2026,211.0
01-Apr-2026,211.67
01-May-2026,212.45
01-Jun-2026,212.72
01-Jul-2026,213.37
01-Aug-2026,214.26
01-Sep-2026,214.35
