Quarter,GDP Growth YoY (%)
Q%q-2010,6.58
Q%q-2010,8.82
Q%q-2010,8.53
Q%q-2010,7.26
Q%q-2011,8.2
Q%q-2011,6.57
Q%q-2011,8.03
Q%q-2011,7.45
Q%q-2012,8.51
Q%q-2012,8.03
Q%q-2012,5.76
Q%q-2012,8.48
Q%q-2013,5.31
Q%q-2013,4.57
Q%q-2013,5.99
Q%q-2013,3.73
Q%q-2014,2.81
Q%q-2014,6.17
Q%q-2014,5.88
Q%q-2014,3.38
Q%q-2015,4.69
Q%q-2015,6.41
Q%q-2015,6.17
Q%q-2015,4.85
Q%q-2016,5.32
Q%q-2016,4.57
Q%q-2016,6.5
Q%q-2016,6.82
Q%q-2017,7.69
Q%q-2017,9.2
Q%q-2017,8.28
Q%q-2017,9.77
Q%q-2018,7.77
Q%q-2018,10.01
Q%q-2018,9.63
Q%q-2018,6.63
Q%q-2019,5.7
Q%q-2019,5.98
Q%q-2019,7.11
Q%q-2019,5.14
Q%q-2020,5.03
Q%q-2020,-23.9
Q%q-2020,-23.9
Q%q-2020,4.77
Q%q-2021,4.88
Q%q-2021,4.44
Q%q-2021,3.78
Q%q-2021,5.88
Q%q-2022,6.8
Q%q-2022,6.53
Q%q-2022,6.79
Q%q-2022,6.63
Q%q-2023,6.66
Q%q-2023,7.28
Q%q-2023,8.65
Q%q-2023,8.87
Q%q-2024,9.51
Q%q-2024,8.82
Q%q-2024,6.53
Q%q-2024,7.03
Q%q-2025,8.19
Q%q-2025,5.73
Q%q-2025,8.08
Q%q-2025,5.65
Q%q-2026,3.94
Q%q-2026,5.23
Q%q-2026,5.29
