Date,IIP Index
01-Jan-2010,95.69
01-Feb-2010,101.77
01-Mar-2010,105.17
01-Apr-2010,108.76
01-May-2010,110.71
01-Jun-2010,104.27
01-Jul-2010,113.71
01-Aug-2010,109.89
01-Sep-2010,110.94
01-Oct-2010,111.6
01-Nov-2010,105.34
01-Dec-2010,108.41
01-Jan-2011,112.79
01-Feb-2011,108.71
01-Mar-2011,107.62
01-Apr-2011,110.16
01-May-2011,105.09
01-Jun-2011,107.32
01-Jul-2011,108.76
01-Aug-2011,94.82
01-Sep-2011,102.56
01-Oct-2011,100.16
01-Nov-2011,96.44
01-Dec-2011,100.9
01-Jan-2012,102.47
01-Feb-2012,95.5
01-Mar-2012,94.25
01-Apr-2012,98.59
01-May-2012,90.49
01-Jun-2012,84.98
01-Jul-2012,93.07
01-Aug-2012,86.32
01-Sep-2012,95.72
01-Oct-2012,96.98
01-Nov-2012,101.2
01-Dec-2012,104.42
01-Jan-2013,105.74
01-Feb-2013,106.7
01-Mar-2013,111.78
01-Apr-2013,104.96
01-May-2013,109.02
01-Jun-2013,114.03
01-Jul-2013,111.9
01-Aug-2013,114.11
01-Sep-2013,113.17
01-Oct-2013,117.24
01-Nov-2013,112.45
01-Dec-2013,120.48
01-Jan-2014,121.96
01-Feb-2014,113.02
01-Mar-2014,119.98
01-Apr-2014,118.03
01-May-2014,117.74
01-Jun-2014,108.72
01-Jul-2014,112.98
01-Aug-2014,113.17
01-Sep-2014,109.8
01-Oct-2014,106.07
01-Nov-2014,102.16
01-Dec-2014,98.37
01-Jan-2015,104.04
01-Feb-2015,102.89
01-Mar-2015,105.6
01-Apr-2015,108.01
01-May-2015,94.42
01-Jun-2015,96.81
01-Jul-2015,99.03
01-Aug-2015,99.83
01-Sep-2015,104.1
01-Oct-2015,100.63
01-Nov-2015,102.0
01-Dec-2015,107.26
01-Jan-2016,101.01
01-Feb-2016,99.36
01-Mar-2016,116.59
01-Apr-2016,116.8
01-May-2016,107.65
01-Jun-2016,116.98
01-Jul-2016,114.49
01-Aug-2016,113.66
01-Sep-2016,122.57
01-Oct-2016,122.77
01-Nov-2016,118.92
01-Dec-2016,121.1
01-Jan-2017,126.13
01-Feb-2017,125.32
01-Mar-2017,120.78
01-Apr-2017,124.48
01-May-2017,124.2
01-Jun-2017,118.41
01-Jul-2017,119.52
01-Aug-2017,115.23
01-Sep-2017,120.36
01-Oct-2017,122.0
01-Nov-2017,117.15
01-Dec-2017,103.39
01-Jan-2018,107.16
01-Feb-2018,118.12
01-Mar-2018,113.12
01-Apr-2018,109.58
01-May-2018,108.82
01-Jun-2018,113.47
01-Jul-2018,105.67
01-Aug-2018,93.8
01-Sep-2018,106.63
01-Oct-2018,97.72
01-Nov-2018,107.05
01-Dec-2018,102.6
01-Jan-2019,110.75
01-Feb-2019,118.83
01-Mar-2019,109.74
01-Apr-2019,116.27
01-May-2019,119.96
01-Jun-2019,113.4
01-Jul-2019,118.53
01-Aug-2019,124.17
01-Sep-2019,121.08
01-Oct-2019,128.74
01-Nov-2019,128.06
01-Dec-2019,127.54
01-Jan-2020,126.86
01-Feb-2020,126.06
01-Mar-2020,131.91
01-Apr-2020,136.34
01-May-2020,125.66
01-Jun-2020,129.21
01-Jul-2020,121.72
01-Aug-2020,124.89
01-Sep-2020,122.41
01-Oct-2020,115.47
01-Nov-2020,124.06
01-Dec-2020,116.6
01-Jan-2021,120.75
01-Feb-2021,118.54
01-Mar-2021,114.72
01-Apr-2021,113.06
01-May-2021,110.06
01-Jun-2021,103.93
01-Jul-2021,108.71
01-Aug-2021,111.31
01-Sep-2021,115.81
01-Oct-2021,120.71
01-Nov-2021,111.82
01-Dec-2021,112.7
01-Jan-2022,111.37
01-Feb-2022,116.61
01-Mar-2022,112.34
01-Apr-2022,116.94
01-May-2022,113.8
01-Jun-2022,124.34
01-Jul-2022,118.44
01-Aug-2022,125.79
01-Sep-2022,128.79
01-Oct-2022,121.39
01-Nov-2022,137.57
01-Dec-2022,125.29
01-Jan-2023,129.31
01-Feb-2023,132.85
01-Mar-2023,130.88
01-Apr-2023,139.87
01-May-2023,134.22
01-Jun-2023,130.33
01-Jul-2023,136.73
01-Aug-2023,136.31
01-Sep-2023,131.63
01-Oct-2023,136.08
01-Nov-2023,133.56
01-Dec-2023,129.88
01-Jan-2024,130.47
01-Feb-2024,129.03
01-Mar-2024,131.08
01-Apr-2024,130.0
01-May-2024,122.27
01-Jun-2024,115.2
01-Jul-2024,121.4
01-Aug-2024,122.77
01-Sep-2024,115.5
01-Oct-2024,118.2
01-Nov-2024,122.49
01-Dec-2024,114.72
01-Jan-2025,111.58
01-Feb-2025,109.43
01-Mar-2025,118.32
01-Apr-2025,116.15
01-May-2025,123.15
01-Jun-2025,124.12
01-Jul-2025,125.55
01-Aug-2025,120.56
01-Sep-2025,121.03
01-Oct-2025,121.34
01-Nov-2025,124.36
01-Dec-2025,135.64
01-Jan-2026,126.65
01-Feb-2026,135.22
01-Mar-2026,133.35
01-Apr-2026,136.63
01-May-2026,136.28
01-Jun-2026,142.57
01-Jul-2026,143.35
01-Aug-2026,146.93
01-Sep-2026,138.83
