Date,Manufacturing PMI
01-Jan-2010,48.86
01-Feb-2010,53.46
01-Mar-2010,50.33
01-Apr-2010,54.67
01-May-2010,52.81
01-Jun-2010,54.51
01-Jul-2010,52.78
01-Aug-2010,50.53
01-Sep-2010,54.41
01-Oct-2010,55.23
01-Nov-2010,55.06
01-Dec-2010,59.42
01-Jan-2011,55.47
01-Feb-2011,55.27
01-Mar-2011,56.68
01-Apr-2011,57.09
01-May-2011,50.3
01-Jun-2011,54.61
01-Jul-2011,53.97
01-Aug-2011,53.68
01-Sep-2011,51.66
01-Oct-2011,51.05
01-Nov-2011,50.38
01-Dec-2011,51.28
01-Jan-2012,54.22
01-Feb-2012,48.6
01-Mar-2012,49.81
01-Apr-2012,48.18
01-May-2012,50.27
01-Jun-2012,46.69
01-Jul-2012,49.85
01-Aug-2012,49.81
01-Sep-2012,49.81
01-Oct-2012,49.54
01-Nov-2012,50.01
01-Dec-2012,47.44
01-Jan-2013,49.51
01-Feb-2013,49.03
01-Mar-2013,46.91
01-Apr-2013,53.11
01-May-2013,52.9
01-Jun-2013,45.53
01-Jul-2013,52.99
01-Aug-2013,47.33
01-Sep-2013,52.02
01-Oct-2013,51.77
01-Nov-2013,52.9
01-Dec-2013,52.22
01-Jan-2014,54.57
01-Feb-2014,55.85
01-Mar-2014,55.14
01-Apr-2014,53.46
01-May-2014,55.67
01-Jun-2014,57.94
01-Jul-2014,54.03
01-Aug-2014,53.44
01-Sep-2014,56.94
01-Oct-2014,53.9
01-Nov-2014,55.9
01-Dec-2014,50.88
01-Jan-2015,51.96
01-Feb-2015,54.25
01-Mar-2015,55.09
01-Apr-2015,54.6
01-May-2015,53.26
01-Jun-2015,52.91
01-Jul-2015,52.83
01-Aug-2015,51.26
01-Sep-2015,54.96
01-Oct-2015,52.54
01-Nov-2015,51.06
01-Dec-2015,44.24
01-Jan-2016,47.09
01-Feb-2016,47.68
01-Mar-2016,46.85
01-Apr-2016,50.27
01-May-2016,45.95
01-Jun-2016,49.44
01-Jul-2016,49.02
01-Aug-2016,48.91
01-Sep-2016,46.28
01-Oct-2016,46.04
01-Nov-2016,49.04
01-Dec-2016,45.15
01-Jan-2017,50.13
01-Feb-2017,51.68
01-Mar-2017,49.87
01-Apr-2017,51.28
01-May-2017,51.87
01-Jun-2017,53.97
01-Jul-2017,52.33
01-Aug-2017,51.56
01-Sep-2017,51.2
01-Oct-2017,50.37
01-Nov-2017,55.79
01-Dec-2017,54.18
01-Jan-2018,55.62
01-Feb-2018,55.79
01-Mar-2018,51.57
01-Apr-2018,57.82
01-May-2018,60.95
01-Jun-2018,55.24
01-Jul-2018,57.09
01-Aug-2018,56.89
01-Sep-2018,49.87
01-Oct-2018,54.42
01-Nov-2018,51.71
01-Dec-2018,54.14
01-Jan-2019,51.18
01-Feb-2019,54.17
01-Mar-2019,52.54
01-Apr-2019,48.38
01-May-2019,51.21
01-Jun-2019,50.99
01-Jul-2019,48.48
01-Aug-2019,47.69
01-Sep-2019,51.58
01-Oct-2019,48.37
01-Nov-2019,47.64
01-Dec-2019,51.08
01-Jan-2020,47.63
01-Feb-2020,49.09
01-Mar-2020,45.63
01-Apr-2020,50.42
01-May-2020,47.74
01-Jun-2020,48.5
01-Jul-2020,50.72
01-Aug-2020,49.77
01-Sep-2020,46.14
01-Oct-2020,53.0
01-Nov-2020,51.17
01-Dec-2020,51.81
01-Jan-2021,53.77
01-Feb-2021,54.07
01-Mar-2021,51.98
01-Apr-2021,55.61
01-May-2021,53.52
01-Jun-2021,55.52
01-Jul-2021,51.81
01-Aug-2021,49.8
01-Sep-2021,53.12
01-Oct-2021,57.34
01-Nov-2021,58.67
01-Dec-2021,51.9
01-Jan-2022,58.01
01-Feb-2022,55.59
01-Mar-2022,56.51
01-Apr-2022,51.65
01-May-2022,59.66
01-Jun-2022,53.48
01-Jul-2022,53.29
01-Aug-2022,49.24
01-Sep-2022,50.34
01-Oct-2022,51.35
01-Nov-2022,53.88
01-Dec-2022,54.05
01-Jan-2023,48.06
01-Feb-2023,50.06
01-Mar-2023,49.42
01-Apr-2023,49.81
01-May-2023,47.27
01-Jun-2023,51.13
01-Jul-2023,49.26
01-Aug-2023,49.85
01-Sep-2023,46.57
01-Oct-2023,49.48
01-Nov-2023,47.37
01-Dec-2023,50.14
01-Jan-2024,47.23
01-Feb-2024,48.79
01-Mar-2024,50.01
01-Apr-2024,50.44
01-May-2024,49.64
01-Jun-2024,50.54
01-Jul-2024,50.46
01-Aug-2024,53.95
01-Sep-2024,54.17
01-Oct-2024,51.2
01-Nov-2024,54.81
01-Dec-2024,50.07
01-Jan-2025,54.99
01-Feb-2025,57.45
01-Mar-2025,54.03
01-Apr-2025,59.7
01-May-2025,59.27
01-Jun-2025,55.65
01-Jul-2025,54.63
01-Aug-2025,55.39
01-Sep-2025,55.94
01-Oct-2025,54.33
01-Nov-2025,56.47
01-Dec-2025,56.16
01-Jan-2026,53.96
01-Feb-2026,54.71
01-Mar-2026,51.53
01-Apr-2026,55.78
01-May-2026,54.63
01-Jun-2026,51.11
01-Jul-2026,54.49
01-Aug-2026,50.17
01-Sep-2026,49.02
