Date,USD/INR Reference Rate
01-Jan-2010,45.65
01-Feb-2010,45.6
01-Mar-2010,46.41
01-Apr-2010,46.56
01-May-2010,46.16
01-Jun-2010,46.57
01-Jul-2010,48.42
01-Aug-2010,48.67
01-Sep-2010,48.52
01-Oct-2010,47.7
01-Nov-2010,47.85
01-Dec-2010,47.2
01-Jan-2011,50.69
01-Feb-2011,48.61
01-Mar-2011,49.16
01-Apr-2011,49.32
01-May-2011,47.92
01-Jun-2011,48.57
01-Jul-2011,50.35
01-Aug-2011,50.36
01-Sep-2011,50.12
01-Oct-2011,49.57
01-Nov-2011,49.27
01-Dec-2011,48.88
01-Jan-2012,51.17
01-Feb-2012,50.47
01-Mar-2012,52.05
01-Apr-2012,51.44
01-May-2012,50.85
01-Jun-2012,51.11
01-Jul-2012,51.69
01-Aug-2012,51.64
01-Sep-2012,51.12
01-Oct-2012,52.07
01-Nov-2012,52.1
01-Dec-2012,50.81
01-Jan-2013,51.71
01-Feb-2013,50.38
01-Mar-2013,51.81
01-Apr-2013,51.09
01-May-2013,51.63
01-Jun-2013,51.29
01-Jul-2013,48.94
01-Aug-2013,51.69
01-Sep-2013,51.39
01-Oct-2013,50.96
01-Nov-2013,50.0
01-Dec-2013,50.22
01-Jan-2014,52.1
01-Feb-2014,50.51
01-Mar-2014,51.28
01-Apr-2014,51.54
01-May-2014,50.65
01-Jun-2014,49.73
01-Jul-2014,50.98
01-Aug-2014,48.54
01-Sep-2014,50.17
01-Oct-2014,50.07
01-Nov-2014,50.98
01-Dec-2014,49.17
01-Jan-2015,51.3
01-Feb-2015,50.79
01-Mar-2015,50.08
01-Apr-2015,50.79
01-May-2015,49.18
01-Jun-2015,50.01
01-Jul-2015,49.47
01-Aug-2015,49.77
01-Sep-2015,50.0
01-Oct-2015,51.69
01-Nov-2015,49.96
01-Dec-2015,49.58
01-Jan-2016,51.07
01-Feb-2016,50.32
01-Mar-2016,50.02
01-Apr-2016,49.8
01-May-2016,50.89
01-Jun-2016,52.09
01-Jul-2016,51.07
01-Aug-2016,53.04
01-Sep-2016,52.47
01-Oct-2016,50.79
01-Nov-2016,53.42
01-Dec-2016,51.94
01-Jan-2017,53.36
01-Feb-2017,54.49
01-Mar-2017,53.85
01-Apr-2017,55.07
01-May-2017,54.9
01-Jun-2017,54.1
01-Jul-2017,55.68
01-Aug-2017,53.77
01-Sep-2017,54.19
01-Oct-2017,56.78
01-Nov-2017,57.18
01-Dec-2017,54.33
01-Jan-2018,57.68
01-Feb-2018,58.02
01-Mar-2018,56.54
01-Apr-2018,58.65
01-May-2018,56.44
01-Jun-2018,59.76
01-Jul-2018,58.55
01-Aug-2018,59.05
01-Sep-2018,61.8
01-Oct-2018,58.7
01-Nov-2018,58.59
01-Dec-2018,61.01
01-Jan-2019,60.8
01-Feb-2019,61.27
01-Mar-2019,61.59
01-Apr-2019,59.84
01-May-2019,60.96
01-Jun-2019,60.13
01-Jul-2019,62.21
01-Aug-2019,61.12
01-Sep-2019,60.18
01-Oct-2019,61.73
01-Nov-2019,60.84
01-Dec-2019,61.84
01-Jan-2020,62.59
01-Feb-2020,61.39
01-Mar-2020,61.16
01-Apr-2020,63.37
01-May-2020,61.59
01-Jun-2020,62.68
01-Jul-2020,62.52
01-Aug-2020,62.94
01-Sep-2020,63.04
01-Oct-2020,62.34
01-Nov-2020,64.07
01-Dec-2020,63.45
01-Jan-2021,61.53
01-Feb-2021,63.23
01-Mar-2021,62.01
01-Apr-2021,63.96
01-May-2021,62.37
01-Jun-2021,62.16
01-Jul-2021,63.29
01-Aug-2021,63.52
01-Sep-2021,60.84
01-Oct-2021,61.18
01-Nov-2021,62.21
01-Dec-2021,63.58
01-Jan-2022,61.26
01-Feb-2022,62.13
01-Mar-2022,61.72
01-Apr-2022,61.54
01-May-2022,62.47
01-Jun-2022,62.8
01-Jul-2022,60.61
01-Aug-2022,61.5
01-Sep-2022,62.19
01-Oct-2022,60.71
01-Nov-2022,61.62
01-Dec-2022,62.07
01-Jan-2023,61.47
01-Feb-2023,60.48
01-Mar-2023,61.3
01-Apr-2023,60.82
01-May-2023,62.76
01-Jun-2023,61.12
01-Jul-2023,62.26
01-Aug-2023,62.21
01-Sep-2023,62.48
01-Oct-2023,61.4
01-Nov-2023,63.75
01-Dec-2023,62.18
01-Jan-2024,62.39
01-Feb-2024,63.0
01-Mar-2024,63.07
01-Apr-2024,62.34
01-May-2024,63.36
01-Jun-2024,62.09
01-Jul-2024,64.22
01-Aug-2024,63.35
01-Sep-2024,63.34
01-Oct-2024,65.25
01-Nov-2024,65.17
01-Dec-2024,65.12
01-Jan-2025,64.32
01-Feb-2025,63.97
01-Mar-2025,65.78
01-Apr-2025,66.53
01-May-2025,64.88
01-Jun-2025,67.62
01-Jul-2025,67.55
01-Aug-2025,67.25
01-Sep-2025,66.99
01-Oct-2025,68.99
01-Nov-2025,67.77
01-Dec-2025,68.97
01-Jan-2026,70.16
01-Feb-2026,70.15
01-Mar-2026,68.54
01-Apr-2026,68.24
01-May-2026,69.51
01-Jun-2026,68.88
01-Jul-2026,70.42
01-Aug-2026,69.74
01-Sep-2026,71.29
