Date,WPI Index
01-Jan-2010,99.94
01-Feb-2010,100.36
01-Mar-2010,99.9
01-Apr-2010,99.94
01-May-2010,99.75
01-Jun-2010,100.19
01-Jul-2010,100.14
01-Aug-2010,100.34
01-Sep-2010,100.02
01-Oct-2010,99.5
01-Nov-2010,100.0
01-Dec-2010,100.52
01-Jan-2011,100.88
01-Feb-2011,100.77
01-Mar-2011,101.26
01-Apr-2011,101.41
01-May-2011,102.15
01-Jun-2011,102.97
01-Jul-2011,103.32
01-Aug-2011,103.39
01-Sep-2011,103.65
01-Oct-2011,104.24
01-Nov-2011,104.27
01-Dec-2011,104.29
01-Jan-2012,104.87
01-Feb-2012,105.91
01-Mar-2012,106.34
01-Apr-2012,106.89
01-May-2012,107.43
01-Jun-2012,107.56
01-Jul-2012,107.31
01-Aug-2012,108.89
01-Sep-2012,108.97
01-Oct-2012,108.86
01-Nov-2012,108.82
01-Dec-2012,109.44
01-Jan-2013,108.75
01-Feb-2013,109.23
01-Mar-2013,109.14
01-Apr-2013,109.84
01-May-2013,109.6
01-Jun-2013,109.99
01-Jul-2013,110.59
01-Aug-2013,111.0
01-Sep-2013,110.82
01-Oct-2013,111.26
01-Nov-2013,111.12
01-Dec-2013,111.3
01-Jan-2014,111.88
01-Feb-2014,112.02
01-Mar-2014,112.92
01-Apr-2014,113.62
01-May-2014,114.27
01-Jun-2014,115.1
01-Jul-2014,115.06
01-Aug-2014,115.35
01-Sep-2014,116.75
01-Oct-2014,117.11
01-Nov-2014,117.92
01-Dec-2014,118.24
01-Jan-2015,118.49
01-Feb-2015,118.72
01-Mar-2015,119.27
01-Apr-2015,119.24
01-May-2015,119.34
01-Jun-2015,119.65
01-Jul-2015,119.9
01-Aug-2015,119.14
01-Sep-2015,120.16
01-Oct-2015,120.58
01-Nov-2015,120.61
01-Dec-2015,121.74
01-Jan-2016,122.18
01-Feb-2016,122.96
01-Mar-2016,122.34
01-Apr-2016,122.56
01-May-2016,123.14
01-Jun-2016,123.62
01-Jul-2016,123.22
01-Aug-2016,123.93
01-Sep-2016,123.25
01-Oct-2016,122.79
01-Nov-2016,122.82
01-Dec-2016,123.27
01-Jan-2017,123.25
01-Feb-2017,123.24
01-Mar-2017,122.99
01-Apr-2017,122.44
01-May-2017,123.31
01-Jun-2017,122.4
01-Jul-2017,123.14
01-Aug-2017,123.41
01-Sep-2017,123.74
01-Oct-2017,124.11
01-Nov-2017,124.25
01-Dec-2017,125.0
01-Jan-2018,125.47
01-Feb-2018,125.99
01-Mar-2018,126.92
01-Apr-2018,127.37
01-May-2018,127.36
01-Jun-2018,127.21
01-Jul-2018,127.49
01-Aug-2018,127.81
01-Sep-2018,128.33
01-Oct-2018,127.88
01-Nov-2018,127.9
01-Dec-2018,129.01
01-Jan-2019,129.4
01-Feb-2019,129.44
01-Mar-2019,129.24
01-Apr-2019,129.32
01-May-2019,129.74
01-Jun-2019,129.87
01-Jul-2019,130.03
01-Aug-2019,130.51
01-Sep-2019,129.88
01-Oct-2019,129.85
01-Nov-2019,129.41
01-Dec-2019,129.97
01-Jan-2020,129.71
01-Feb-2020,129.39
01-Mar-2020,130.1
01-Apr-2020,130.83
01-May-2020,131.4
01-Jun-2020,131.91
01-Jul-2020,133.2
01-Aug-2020,133.25
01-Sep-2020,132.99
01-Oct-2020,132.62
01-Nov-2020,132.27
01-Dec-2020,132.14
01-Jan-2021,132.78
01-Feb-2021,133.87
01-Mar-2021,134.5
01-Apr-2021,135.24
01-May-2021,134.44
01-Jun-2021,134.73
01-Jul-2021,134.51
01-Aug-2021,133.52
01-Sep-2021,133.66
01-Oct-2021,134.85
01-Nov-2021,135.06
01-Dec-2021,135.54
01-Jan-2022,135.39
01-Feb-2022,135.84
01-Mar-2022,135.82
01-Apr-2022,137.39
01-May-2022,137.91
01-Jun-2022,137.51
01-Jul-2022,137.61
01-Aug-2022,138.59
01-Sep-2022,138.24
01-Oct-2022,138.42
01-Nov-2022,138.82
01-Dec-2022,138.83
01-Jan-2023,139.73
01-Feb-2023,139.47
01-Mar-2023,139.68
01-Apr-2023,139.7
01-May-2023,139.65
01-Jun-2023,140.72
01-Jul-2023,141.61
01-Aug-2023,141.75
01-Sep-2023,142.12
01-Oct-2023,141.99
01-Nov-2023,142.3
01-Dec-2023,142.76
01-Jan-2024,142.41
01-Feb-2024,143.6
01-Mar-2024,144.46
01-Apr-2024,143.34
01-May-2024,144.42
01-Jun-2024,144.73
01-Jul-2024,145.86
01-Aug-2024,146.48
01-Sep-2024,146.67
01-Oct-2024,145.98
01-Nov-2024,145.41
01-Dec-2024,145.61
01-Jan-2025,146.12
01-Feb-2025,146.4
01-Mar-2025,146.36
01-Apr-2025,147.03
01-May-2025,148.58
01-Jun-2025,149.63
01-Jul-2025,149.52
01-Aug-2025,148.93
01-Sep-2025,148.87
01-Oct-2025,150.2
01-Nov-2025,150.12
01-Dec-2025,150.01
01-Jan-2026,150.54
01-Feb-2026,150.43
01-Mar-2026,149.69
01-Apr-2026,150.0
01-May-2026,150.67
01-Jun-2026,150.86
01-Jul-2026,151.78
01-Aug-2026,151.73
01-Sep-2026,152.91
