Date,Gold (USD/troy oz)
2010-01-01,1121.1
2010-01-04,1123.82
2010-01-05,1097.5
2010-01-06,1078.09
2010-01-07,1089.31
2010-01-08,1075.02
2010-01-11,1069.23
2010-01-12,1063.31
2010-01-13,1047.76
2010-01-14,1051.07
2010-01-15,1057.8
2010-01-18,1052.93
2010-01-19,1035.34
2010-01-20,1047.97
2010-01-21,1052.97
2010-01-22,1058.98
2010-01-25,1064.62
2010-01-26,1083.69
2010-01-27,1105.43
2010-01-28,1121.3
2010-01-29,1132.64
2010-02-01,1120.45
2010-02-02,1141.22
2010-02-03,1129.56
2010-02-04,1137.45
2010-02-05,1145.13
2010-02-08,1155.36
2010-02-09,1149.99
2010-02-10,1165.56
2010-02-11,1161.3
2010-02-12,1148.86
2010-02-15,1169.46
2010-02-16,1160.58
2010-02-17,1164.49
2010-02-18,1162.85
2010-02-19,1186.0
2010-02-22,1186.65
2010-02-23,1209.71
2010-02-24,1212.16
2010-02-25,1228.35
2010-02-26,1218.51
2010-03-01,1235.32
2010-03-02,1259.75
2010-03-03,1252.09
2010-03-04,1265.18
2010-03-05,1270.69
2010-03-08,1269.87
2010-03-09,1291.56
2010-03-10,1289.34
2010-03-11,1294.39
2010-03-12,1287.44
2010-03-15,1308.16
2010-03-16,1341.67
2010-03-17,1340.24
2010-03-18,1323.49
2010-03-19,1320.31
2010-03-22,1327.28
2010-03-23,1326.38
2010-03-24,1321.98
2010-03-25,1330.18
2010-03-26,1324.44
2010-03-29,1336.11
2010-03-30,1336.02
2010-03-31,1371.09
2010-04-01,1378.58
2010-04-02,1383.35
2010-04-05,1370.55
2010-04-06,1369.9
2010-04-07,1371.0
2010-04-08,1377.1
2010-04-09,1396.39
2010-04-12,1390.4
2010-04-13,1374.76
2010-04-14,1369.07
2010-04-15,1396.7
2010-04-16,1389.23
2010-04-19,1390.69
2010-04-20,1392.64
2010-04-21,1406.22
2010-04-22,1407.11
2010-04-23,1428.42
2010-04-26,1451.2
2010-04-27,1443.82
2010-04-28,1438.07
2010-04-29,1456.27
2010-04-30,1460.96
2010-05-03,1454.76
2010-05-04,1431.11
2010-05-05,1423.1
2010-05-06,1450.95
2010-05-07,1457.37
2010-05-10,1442.22
2010-05-11,1440.95
2010-05-12,1435.24
2010-05-13,1436.74
2010-05-14,1411.03
2010-05-17,1397.71
2010-05-18,1413.38
2010-05-19,1428.93
2010-05-20,1434.86
2010-05-21,1430.05
2010-05-24,1428.88
2010-05-25,1435.2
2010-05-26,1433.84
2010-05-27,1448.85
2010-05-28,1469.19
2010-05-31,1474.06
2010-06-01,1475.93
2010-06-02,1461.22
2010-06-03,1457.36
2010-06-04,1477.61
2010-06-07,1472.91
2010-06-08,1470.95
2010-06-09,1484.37
2010-06-10,1485.71
2010-06-11,1493.24
2010-06-14,1494.51
2010-06-15,1483.72
2010-06-16,1467.11
2010-06-17,1481.81
2010-06-18,1493.32
2010-06-21,1500.4
2010-06-22,1496.69
2010-06-23,1529.3
2010-06-24,1549.8
2010-06-25,1541.59
2010-06-28,1553.2
2010-06-29,1564.18
2010-06-30,1581.18
2010-07-01,1579.74
2010-07-02,1604.22
2010-07-05,1595.93
2010-07-06,1607.15
2010-07-07,1591.36
2010-07-08,1578.74
2010-07-09,1580.23
2010-07-12,1560.03
2010-07-13,1558.45
2010-07-14,1594.42
2010-07-15,1584.56
2010-07-16,1578.09
2010-07-19,1586.07
2010-07-20,1600.64
2010-07-21,1668.84
2010-07-22,1668.46
2010-07-23,1660.28
2010-07-26,1681.23
2010-07-27,1641.96
2010-07-28,1640.12
2010-07-29,1660.89
2010-07-30,1645.24
2010-08-02,1684.68
2010-08-03,1734.23
2010-08-04,1764.47
2010-08-05,1739.28
2010-08-06,1732.21
2010-08-09,1740.01
2010-08-10,1750.69
2010-08-11,1718.27
2010-08-12,1713.48
2010-08-13,1691.84
2010-08-16,1710.01
2010-08-17,1725.95
2010-08-18,1743.99
2010-08-19,1724.25
2010-08-20,1716.77
2010-08-23,1730.48
2010-08-24,1743.16
2010-08-25,1740.98
2010-08-26,1744.52
2010-08-27,1753.38
2010-08-30,1747.28
2010-08-31,1742.27
2010-09-01,1720.01
2010-09-02,1727.16
2010-09-03,1751.43
2010-09-06,1773.55
2010-09-07,1784.04
2010-09-08,1765.45
2010-09-09,1779.78
2010-09-10,1807.85
2010-09-13,1864.1
2010-09-14,1894.49
2010-09-15,1851.45
2010-09-16,1849.62
2010-09-17,1849.01
2010-09-20,1872.8
2010-09-21,1884.81
2010-09-22,1937.2
2010-09-23,1933.43
2010-09-24,1929.11
2010-09-27,1911.13
2010-09-28,1917.87
2010-09-29,1924.3
2010-09-30,1931.98
2010-10-01,1925.62
2010-10-04,1913.45
2010-10-05,1901.48
2010-10-06,1918.98
2010-10-07,1919.4
2010-10-08,1944.47
2010-10-11,1988.25
2010-10-12,2007.75
2010-10-13,1970.76
2010-10-14,1945.33
2010-10-15,1930.27
2010-10-18,1932.81
2010-10-19,1923.04
2010-10-20,1947.42
2010-10-21,1981.29
2010-10-22,2005.37
2010-10-25,1988.96
2010-10-26,2015.68
2010-10-27,2005.64
2010-10-28,2016.85
2010-10-29,2056.89
2010-11-01,2087.68
2010-11-02,2062.16
2010-11-03,2094.27
2010-11-04,2105.27
2010-11-05,2125.67
2010-11-08,2108.75
2010-11-09,2139.83
2010-11-10,2159.24
2010-11-11,2163.23
2010-11-12,2118.38
2010-11-15,2147.68
2010-11-16,2146.49
2010-11-17,2186.89
2010-11-18,2227.76
2010-11-19,2204.89
2010-11-22,2256.73
2010-11-23,2268.17
2010-11-24,2263.21
2010-11-25,2253.34
2010-11-26,2238.06
2010-11-29,2225.83
2010-11-30,2247.13
2010-12-01,2194.84
2010-12-02,2206.28
2010-12-03,2212.34
2010-12-06,2226.6
2010-12-07,2210.73
2010-12-08,2173.14
2010-12-09,2129.52
2010-12-10,2150.92
2010-12-13,2151.23
2010-12-14,2179.06
2010-12-15,2202.61
2010-12-16,2183.53
2010-12-17,2207.39
2010-12-20,2170.78
2010-12-21,2151.96
2010-12-22,2166.67
2010-12-23,2163.43
2010-12-24,2211.45
2010-12-27,2232.44
2010-12-28,2233.03
2010-12-29,2221.96
2010-12-30,2264.64
2010-12-31,2270.85
2011-01-03,2281.31
2011-01-04,2279.96
2011-01-05,2250.73
2011-01-06,2266.74
2011-01-07,2265.63
2011-01-10,2218.86
2011-01-11,2259.19
2011-01-12,2254.57
2011-01-13,2243.2
2011-01-14,2228.57
2011-01-17,2236.55
2011-01-18,2217.47
2011-01-19,2222.49
2011-01-20,2207.64
2011-01-21,2241.34
2011-01-24,2249.06
2011-01-25,2262.03
2011-01-26,2278.78
2011-01-27,2252.07
2011-01-28,2224.15
2011-01-31,2204.83
2011-02-01,2200.99
2011-02-02,2231.52
2011-02-03,2221.85
2011-02-04,2235.98
2011-02-07,2259.62
2011-02-08,2255.59
2011-02-09,2252.77
2011-02-10,2263.54
2011-02-11,2264.29
2011-02-14,2255.36
2011-02-15,2271.1
2011-02-16,2303.82
2011-02-17,2260.57
2011-02-18,2249.02
2011-02-21,2235.58
2011-02-22,2250.41
2011-02-23,2210.33
2011-02-24,2198.48
2011-02-25,2205.8
2011-02-28,2182.67
2011-03-01,2223.65
2011-03-02,2227.22
2011-03-03,2225.57
2011-03-04,2287.01
2011-03-07,2285.4
2011-03-08,2319.54
2011-03-09,2320.55
2011-03-10,2288.0
2011-03-11,2216.71
2011-03-14,2190.84
2011-03-15,2192.18
2011-03-16,2207.58
2011-03-17,2254.98
2011-03-18,2240.2
2011-03-21,2276.93
2011-03-22,2235.76
2011-03-23,2228.29
2011-03-24,2242.21
2011-03-25,2254.88
2011-03-28,2234.47
2011-03-29,2244.08
2011-03-30,2336.59
2011-03-31,2352.58
2011-04-01,2354.31
2011-04-04,2379.35
2011-04-05,2361.95
2011-04-06,2358.77
2011-04-07,2369.25
2011-04-08,2452.8
2011-04-11,2471.89
2011-04-12,2488.15
2011-04-13,2487.75
2011-04-14,2502.94
2011-04-15,2529.02
2011-04-18,2565.37
2011-04-19,2593.23
2011-04-20,2592.5
2011-04-21,2594.86
2011-04-22,2584.02
2011-04-25,2603.74
2011-04-26,2615.35
2011-04-27,2623.83
2011-04-28,2650.09
2011-04-29,2684.99
2011-05-02,2717.75
2011-05-03,2657.1
2011-05-04,2645.01
2011-05-05,2658.29
2011-05-06,2675.24
2011-05-09,2698.95
2011-05-10,2728.79
2011-05-11,2722.34
2011-05-12,2709.1
2011-05-13,2744.62
2011-05-16,2705.1
2011-05-17,2678.64
2011-05-18,2701.35
2011-05-19,2741.16
2011-05-20,2747.08
2011-05-23,2756.79
2011-05-24,2758.2
2011-05-25,2787.78
2011-05-26,2824.19
2011-05-27,2874.49
2011-05-30,2805.37
2011-05-31,2771.39
2011-06-01,2790.24
2011-06-02,2753.95
2011-06-03,2720.38
2011-06-06,2705.12
2011-06-07,2659.46
2011-06-08,2633.5
2011-06-09,2620.49
2011-06-10,2645.77
2011-06-13,2684.49
2011-06-14,2648.49
2011-06-15,2627.25
2011-06-16,2631.52
2011-06-17,2623.8
2011-06-20,2639.13
