Date,Advances,Declines,Unchanged,Advance Decline Ratio
01-Jan-2010,143,1841,22,0.078
04-Jan-2010,597,1460,44,0.409
05-Jan-2010,1369,707,25,1.936
06-Jan-2010,1023,923,81,1.108
07-Jan-2010,794,1230,86,0.646
08-Jan-2010,605,1396,29,0.433
11-Jan-2010,1480,528,61,2.803
12-Jan-2010,403,1516,94,0.266
13-Jan-2010,1097,823,21,1.333
14-Jan-2010,664,1323,129,0.502
15-Jan-2010,688,1395,49,0.493
18-Jan-2010,627,1386,76,0.452
19-Jan-2010,294,1615,86,0.182
20-Jan-2010,1214,851,94,1.427
21-Jan-2010,1591,450,75,3.536
22-Jan-2010,817,1143,36,0.715
25-Jan-2010,672,1333,56,0.504
26-Jan-2010,761,1298,105,0.586
27-Jan-2010,888,1135,34,0.782
28-Jan-2010,864,1115,123,0.775
29-Jan-2010,859,1134,77,0.757
01-Feb-2010,566,1430,33,0.396
02-Feb-2010,775,1154,113,0.672
03-Feb-2010,427,1572,94,0.272
04-Feb-2010,1007,1028,120,0.98
05-Feb-2010,486,1468,20,0.331
08-Feb-2010,556,1469,75,0.378
09-Feb-2010,1033,964,37,1.072
10-Feb-2010,908,1043,122,0.871
11-Feb-2010,427,1586,98,0.269
12-Feb-2010,713,1333,83,0.535
15-Feb-2010,1168,894,54,1.306
16-Feb-2010,1189,862,68,1.379
17-Feb-2010,893,1124,129,0.794
18-Feb-2010,567,1465,119,0.387
19-Feb-2010,984,1012,122,0.972
22-Feb-2010,840,1231,44,0.682
23-Feb-2010,870,1229,20,0.708
24-Feb-2010,498,1592,41,0.313
25-Feb-2010,508,1556,48,0.326
26-Feb-2010,451,1523,29,0.296
01-Mar-2010,875,1050,104,0.833
02-Mar-2010,1169,824,117,1.419
03-Mar-2010,989,1103,29,0.897
04-Mar-2010,794,1304,52,0.609
05-Mar-2010,1122,798,23,1.406
08-Mar-2010,1434,630,83,2.276
09-Mar-2010,783,1145,113,0.684
10-Mar-2010,1047,923,63,1.134
11-Mar-2010,1358,666,68,2.039
12-Mar-2010,733,1275,29,0.575
15-Mar-2010,586,1459,61,0.402
16-Mar-2010,453,1487,96,0.305
17-Mar-2010,503,1526,62,0.33
18-Mar-2010,799,1264,126,0.632
19-Mar-2010,796,1177,118,0.676
22-Mar-2010,1129,885,26,1.276
23-Mar-2010,458,1511,122,0.303
24-Mar-2010,1010,1072,22,0.942
25-Mar-2010,556,1452,118,0.383
26-Mar-2010,20,2013,111,0.01
29-Mar-2010,983,971,82,1.012
30-Mar-2010,1142,937,126,1.219
31-Mar-2010,651,1340,62,0.486
01-Apr-2010,1227,856,109,1.433
02-Apr-2010,1172,851,107,1.377
05-Apr-2010,893,1149,53,0.777
06-Apr-2010,687,1316,117,0.522
07-Apr-2010,481,1572,79,0.306
08-Apr-2010,722,1332,43,0.542
09-Apr-2010,825,1244,75,0.663
12-Apr-2010,376,1553,76,0.242
13-Apr-2010,573,1337,80,0.429
14-Apr-2010,734,1254,57,0.585
15-Apr-2010,1073,1015,34,1.057
16-Apr-2010,1337,733,68,1.824
19-Apr-2010,693,1385,78,0.5
20-Apr-2010,620,1415,97,0.438
21-Apr-2010,955,963,81,0.992
22-Apr-2010,987,1112,33,0.888
23-Apr-2010,1061,1038,20,1.022
26-Apr-2010,1331,631,55,2.109
27-Apr-2010,729,1172,99,0.622
28-Apr-2010,1095,958,42,1.143
29-Apr-2010,555,1351,29,0.411
30-Apr-2010,774,1149,69,0.674
03-May-2010,38,1902,43,0.02
04-May-2010,552,1523,45,0.362
05-May-2010,244,1798,54,0.136
06-May-2010,1367,612,79,2.234
07-May-2010,944,1102,56,0.857
10-May-2010,877,1153,66,0.761
11-May-2010,1016,1017,29,0.999
12-May-2010,1060,919,60,1.153
13-May-2010,715,1222,112,0.585
14-May-2010,566,1525,52,0.371
17-May-2010,1009,1000,97,1.009
18-May-2010,869,1049,87,0.828
19-May-2010,665,1417,98,0.469
20-May-2010,809,1168,127,0.693
21-May-2010,546,1524,72,0.358
24-May-2010,1157,859,93,1.347
25-May-2010,547,1522,72,0.359
26-May-2010,937,1141,128,0.821
27-May-2010,1107,839,45,1.319
28-May-2010,618,1361,53,0.454
31-May-2010,658,1326,78,0.496
