Date,Stocks Above 50 DMA (%),Stocks Above 200 DMA (%),Universe Size
01-Jan-2010,53.12,39.9,500
04-Jan-2010,52.54,57.67,500
05-Jan-2010,52.93,44.82,500
06-Jan-2010,53.96,48.23,500
07-Jan-2010,53.29,46.08,500
08-Jan-2010,54.02,38.93,500
11-Jan-2010,55.1,46.45,500
12-Jan-2010,53.53,47.45,500
13-Jan-2010,51.77,45.3,500
14-Jan-2010,51.83,48.78,500
15-Jan-2010,49.03,41.03,500
18-Jan-2010,50.58,46.48,500
19-Jan-2010,49.64,36.66,500
20-Jan-2010,48.87,48.7,500
21-Jan-2010,48.5,38.16,500
22-Jan-2010,49.35,48.56,500
25-Jan-2010,49.14,37.57,500
26-Jan-2010,49.58,38.36,500
27-Jan-2010,50.57,39.81,500
28-Jan-2010,51.06,46.68,500
29-Jan-2010,50.73,44.75,500
01-Feb-2010,51.62,47.39,500
02-Feb-2010,49.71,38.67,500
03-Feb-2010,49.3,36.46,500
04-Feb-2010,50.61,44.87,500
05-Feb-2010,52.85,49.28,500
08-Feb-2010,53.5,50.15,500
09-Feb-2010,54.93,54.55,500
10-Feb-2010,55.4,47.61,500
11-Feb-2010,55.06,44.8,500
12-Feb-2010,53.94,49.01,500
15-Feb-2010,53.96,47.83,500
16-Feb-2010,54.51,46.45,500
17-Feb-2010,53.97,48.82,500
18-Feb-2010,53.06,43.31,500
19-Feb-2010,54.84,51.0,500
22-Feb-2010,55.35,46.04,500
23-Feb-2010,54.55,50.55,500
24-Feb-2010,54.75,52.2,500
25-Feb-2010,57.13,55.82,500
26-Feb-2010,56.65,46.62,500
01-Mar-2010,56.72,52.03,500
02-Mar-2010,57.43,50.22,500
03-Mar-2010,59.13,49.76,500
04-Mar-2010,59.74,52.59,500
05-Mar-2010,60.66,53.42,500
08-Mar-2010,61.93,53.14,500
09-Mar-2010,62.6,60.11,500
10-Mar-2010,64.63,56.7,500
11-Mar-2010,65.7,67.4,500
12-Mar-2010,64.05,55.18,500
15-Mar-2010,64.92,52.76,500
16-Mar-2010,64.06,54.17,500
17-Mar-2010,64.87,60.46,500
18-Mar-2010,64.76,59.95,500
19-Mar-2010,64.81,57.04,500
22-Mar-2010,64.2,56.99,500
23-Mar-2010,65.18,54.17,500
24-Mar-2010,67.21,57.72,500
25-Mar-2010,67.74,61.62,500
26-Mar-2010,69.05,61.89,500
29-Mar-2010,68.09,56.13,500
30-Mar-2010,68.01,62.49,500
31-Mar-2010,67.34,61.14,500
01-Apr-2010,66.56,58.47,500
02-Apr-2010,66.51,56.75,500
05-Apr-2010,64.44,56.94,500
06-Apr-2010,66.28,57.06,500
07-Apr-2010,64.78,62.46,500
08-Apr-2010,64.76,51.31,500
09-Apr-2010,64.04,55.95,500
12-Apr-2010,64.34,63.06,500
13-Apr-2010,64.61,57.56,500
14-Apr-2010,66.86,59.19,500
15-Apr-2010,67.37,54.11,500
16-Apr-2010,69.1,60.0,500
19-Apr-2010,70.24,63.95,500
20-Apr-2010,69.57,58.36,500
21-Apr-2010,69.26,60.38,500
22-Apr-2010,68.84,64.23,500
23-Apr-2010,67.59,60.16,500
26-Apr-2010,68.33,60.24,500
27-Apr-2010,69.41,60.3,500
28-Apr-2010,69.02,58.09,500
29-Apr-2010,70.92,65.42,500
30-Apr-2010,70.36,62.37,500
03-May-2010,71.02,63.44,500
04-May-2010,70.24,67.02,500
05-May-2010,70.03,63.88,500
06-May-2010,70.86,61.27,500
07-May-2010,70.05,64.43,500
10-May-2010,70.84,67.28,500
11-May-2010,70.78,68.06,500
12-May-2010,72.34,59.16,500
13-May-2010,72.33,68.55,500
14-May-2010,73.9,64.22,500
17-May-2010,71.69,57.97,500
18-May-2010,72.92,61.73,500
19-May-2010,73.81,65.6,500
20-May-2010,71.43,62.48,500
21-May-2010,73.46,70.64,500
24-May-2010,74.03,61.53,500
25-May-2010,74.32,63.47,500
26-May-2010,75.04,71.01,500
27-May-2010,75.58,72.95,500
28-May-2010,76.91,78.49,500
31-May-2010,76.14,70.02,500
01-Jun-2010,73.03,60.04,500
02-Jun-2010,73.48,66.56,500
03-Jun-2010,74.35,70.6,500
04-Jun-2010,75.28,69.86,500
07-Jun-2010,75.04,64.17,500
08-Jun-2010,77.28,73.86,500
09-Jun-2010,77.86,68.92,500
10-Jun-2010,80.69,79.2,500
11-Jun-2010,80.26,78.07,500
14-Jun-2010,78.29,75.43,500
15-Jun-2010,78.69,69.04,500
16-Jun-2010,77.6,73.81,500
17-Jun-2010,77.52,79.41,500
18-Jun-2010,77.51,67.12,500
21-Jun-2010,76.26,63.08,500
22-Jun-2010,75.3,65.05,500
23-Jun-2010,76.57,67.52,500
24-Jun-2010,76.5,66.41,500
25-Jun-2010,78.79,71.11,500
28-Jun-2010,75.91,61.98,500
