Date,Risk-On_Probability,Late-Cycle_Probability,Transitional_Probability,Risk-Off_Probability,Post-Shock_Probability,Dominant_Regime,Confidence,Entropy,Uncertainty,Conformal_90_Set,CalibratedProxy_Risk-On_Probability,CalibratedProxy_Late-Cycle_Probability,CalibratedProxy_Transitional_Probability,CalibratedProxy_Risk-Off_Probability,CalibratedProxy_Post-Shock_Probability,CalibratedProxy_Dominant_Regime,CalibratedProxy_Confidence,CalibratedProxy_Entropy,CalibratedProxy_90_Set
2010-12-21,1.0209313618117429e-17,3.5121352164933955e-11,0.99999999996477,0.0,1.0871521658812533e-13,Transitional,0.99999999996477,8.816856395702005e-10,5.478220891645e-10,{Transitional},2.1544299455048953e-07,1.555904937667159e-06,0.9999977977660786,2.1544299455048953e-07,2.1544299455048953e-07,Transitional,0.9999977977660786,3.293156638404119e-05,{Transitional}
2010-12-22,2.518383959947492e-21,9.209963498694184e-12,0.9999999992005694,0.0,7.902206989008071e-10,Transitional,0.9999999992005694,1.759251943521997e-08,1.09308469120211e-08,{Transitional},2.1544132665020377e-07,7.396527104327031e-07,0.999990055634185,2.1544132665020377e-07,8.773830451218674e-06,Transitional,0.999990055634185,0.0001291605240060637,{Transitional}
2010-12-23,1.5251759165899882e-18,1.4461279155608638e-11,0.9999999998933868,0.0,9.215191554107352e-11,Transitional,0.9999999998933868,2.59400664633197e-09,1.611746949845873e-09,{Transitional},2.154425985642187e-07,9.503659367686074e-07,0.9999959597209686,2.154425985642187e-07,2.659027897537419e-06,Transitional,0.9999959597209686,5.79681753113957e-05,{Transitional}
2010-12-24,2.5851880595227275e-17,1.379989513804436e-11,0.9999999999582968,0.0,2.790342273570045e-11,Transitional,0.9999999999582968,1.0619578273711511e-09,6.598314971747218e-10,{Transitional},2.1544288169183282e-07,9.259690591235773e-07,0.9999972739190015,2.1544288169183282e-07,1.3692261760720866e-06,Transitional,0.9999972739190015,4.069065527398177e-05,{Transitional}
2010-12-27,3.1282795877787384e-20,6.9466640706088464e-12,0.9999999999246632,0.0,6.839017918568848e-11,Transitional,0.9999999999246632,1.851615120257972e-09,1.1504731595750751e-09,{Transitional},2.1544275452913877e-07,6.323905794656624e-07,0.9999966836633755,2.1544275452913877e-07,2.25306053594416e-06,Transitional,0.9999966836633755,4.8254299182111366e-05,{Transitional}
2010-12-28,8.481112739674389e-16,4.4073084142070076e-12,0.9999999999936616,0.0,1.9302017076581413e-12,Transitional,0.9999999999936616,1.7096016030495969e-10,1.062235200153829e-10,{Transitional},2.1544320347312606e-07,4.911418399113456e-07,0.9999987675151062,2.1544320347312606e-07,3.1045664667514566e-07,Transitional,0.9999987675151062,1.963368016817881e-05,{Transitional}
2010-12-29,8.486735490971292e-16,7.156680093566963e-12,0.99999999999078,0.0,2.062546115215736e-12,Transitional,0.99999999999078,2.4565096986328287e-10,1.5263152928450804e-10,{Transitional},2.1544316825871132e-07,6.429430518788224e-07,0.999998604062671,2.1544316825871132e-07,3.2210794064264804e-07,Transitional,0.999998604062671,2.1991847179483914e-05,{Transitional}
2010-12-30,3.1167335497985234e-20,6.941226271570386e-12,0.9999999999417138,0.0,5.1344963861616286e-11,Transitional,0.9999999999417138,1.4501944767077263e-09,9.010564902839055e-10,{Transitional},2.1544282604911434e-07,6.321157243209338e-07,0.9999970156391681,2.1544282604911434e-07,1.9213594555094293e-06,Transitional,0.9999970156391681,4.391148467175275e-05,{Transitional}
2010-12-31,1.0221619958777727e-23,7.96312599298511e-12,0.9999999999044932,0.0,8.754367587160917e-11,Transitional,0.9999999999044932,2.3234915069155404e-09,1.4436664433991816e-09,{Transitional},2.1544267242635814e-07,6.822345674775546e-07,0.9999963025648202,2.1544267242635814e-07,2.5843152673702004e-06,Transitional,0.9999963025648202,5.324798170059007e-05,{Transitional}
2011-01-03,4.954645170718778e-23,6.442113430294114e-13,0.999999999995634,0.0,3.7218339673700585e-12,Transitional,0.999999999995634,1.1790701373138634e-10,7.325974666091017e-11,{Transitional},2.154432334280057e-07,2.154432334280057e-07,0.9999989065544368,2.154432334280057e-07,4.471158627249731e-07,Transitional,0.9999989065544368,1.7552002480269185e-05,{Transitional}
