Date,Risk-On_Probability,Late-Cycle_Probability,Transitional_Probability,Risk-Off_Probability,Post-Shock_Probability,Dominant_Regime,Confidence,Entropy,Uncertainty,Conformal_90_Set,Close,benchmark_ret,confidence,equity_weight,strategy_ret,cum_strategy,cum_benchmark
2010-12-21,1.0209313618117429e-17,3.5121352164933955e-11,0.99999999996477,0.0,1.0871521658812533e-13,Transitional,0.99999999996477,8.816856395702005e-10,5.478220891645e-10,{Transitional},5750.77,0.0,0.99999999996477,0.7,0.0,1.0,1.0
2010-12-22,2.518383959947492e-21,9.209963498694184e-12,0.9999999992005694,0.0,7.902206989008071e-10,Transitional,0.9999999992005694,1.759251943521997e-08,1.09308469120211e-08,{Transitional},5663.53,-0.015170142433100331,0.9999999992005694,0.7,-0.01061909970317023,0.9893809002968298,0.9848298575668997
2010-12-23,1.5251759165899882e-18,1.4461279155608638e-11,0.9999999998933868,0.0,9.215191554107352e-11,Transitional,0.9999999998933868,2.59400664633197e-09,1.611746949845873e-09,{Transitional},5704.1,0.007163376904510299,0.9999999998933868,0.7,0.005014363833157209,0.9943420161004948,0.9918845650234666
2010-12-24,2.5851880595227275e-17,1.379989513804436e-11,0.9999999999582968,0.0,2.790342273570045e-11,Transitional,0.9999999999582968,1.0619578273711511e-09,6.598314971747218e-10,{Transitional},5721.59,0.003066215529180738,0.9999999999582968,0.7,0.0021463508704265164,0.9964762229522537,0.9949258968798962
2010-12-27,3.1282795877787384e-20,6.9466640706088464e-12,0.9999999999246632,0.0,6.839017918568848e-11,Transitional,0.9999999999246632,1.851615120257972e-09,1.1504731595750751e-09,{Transitional},5677.42,-0.0077198820607558005,0.9999999999246632,0.7,-0.00540391744252906,0.9910913477099765,0.9872451862967917
2010-12-28,8.481112739674389e-16,4.4073084142070076e-12,0.9999999999936616,0.0,1.9302017076581413e-12,Transitional,0.9999999999936616,1.7096016030495969e-10,1.062235200153829e-10,{Transitional},5738.26,0.010716135145893757,0.9999999999936616,0.7,0.007501294602125629,0.9985258158867667,0.9978246391352812
2010-12-29,8.486735490971292e-16,7.156680093566963e-12,0.99999999999078,0.0,2.062546115215736e-12,Transitional,0.99999999999078,2.4565096986328287e-10,1.5263152928450804e-10,{Transitional},5751.49,0.0023055769518982583,0.99999999999078,0.7,0.0016139038663287807,1.0001373405616554,1.0001252006253076
2010-12-30,3.1167335497985234e-20,6.941226271570386e-12,0.9999999999417138,0.0,5.1344963861616286e-11,Transitional,0.9999999999417138,1.4501944767077263e-09,9.010564902839055e-10,{Transitional},5676.63,-0.013015757655842175,0.9999999999417138,0.7,-0.009111030359089521,0.9910250588885391,0.9871078133884681
2010-12-31,1.0221619958777727e-23,7.96312599298511e-12,0.9999999999044932,0.0,8.754367587160917e-11,Transitional,0.9999999999044932,2.3234915069155404e-09,1.4436664433991816e-09,{Transitional},5625.41,-0.009022959044362677,0.9999999999044932,0.7,-0.006316071331053874,0.9847656739257372,0.9782011800158935
2011-01-03,4.954645170718778e-23,6.442113430294114e-13,0.999999999995634,0.0,3.7218339673700585e-12,Transitional,0.999999999995634,1.1790701373138634e-10,7.325974666091017e-11,{Transitional},5644.54,0.003400641019943418,0.999999999995634,0.7,0.0023804487139603924,0.9871098581077862,0.9815276910744126
2011-01-04,4.4212892688332295e-24,7.852947870688193e-13,0.9999999999940512,0.0,5.163550542940823e-12,Transitional,0.9999999999940512,1.5947575046732708e-10,9.908785498046166e-11,{Transitional},5630.2,-0.0025405081724995116,0.9999999999940512,0.7,-0.001778355720749658,0.9853544256446117,0.9790341119537035
2011-01-05,4.624296326156615e-24,2.414960224135448e-13,0.9999999999847624,0.0,1.499595095846874e-11,Transitional,0.9999999999847624,3.93637670550156e-10,2.4458083627147917e-10,{Transitional},5639.29,0.0016145074775320012,0.9999999999847624,0.7,0.0011301552342724008,0.9864680291063674,0.9806147698482116
2011-01-06,9.051080423420732e-27,1.7231318914301874e-13,0.9999999999269994,0.0,7.282829450122233e-11,Transitional,0.9999999999269994,1.7757660290250343e-09,1.1033454694374514e-09,{Transitional},5588.98,-0.00892133584192345,0.9999999999269994,0.7,-0.006244935089346415,0.9803076002968827,0.9718663761548453
2011-01-07,5.292368986881613e-29,2.026070693754221e-13,0.9999999999639896,0.0,3.580768391976486e-11,Transitional,0.9999999999639896,9.008620561916825e-10,5.597370667310964e-10,{Transitional},5557.45,-0.005641458727710602,0.9999999999639896,0.7,-0.003949021109397421,0.9764363448896075,0.9663836321049181
2011-01-10,1.8310722407813637e-21,2.68961193381662e-12,0.9999999999969844,0.0,3.261164313316868e-13,Transitional,0.9999999999969844,8.173998158834598e-11,5.078790611109883e-11,{Transitional},5668.56,0.019992982393004066,0.9999999999969844,0.7,0.013995087675102845,0.9901016571454946,0.985704523046479
2011-01-11,1.2033776344877312e-33,1.4144702341592595e-09,0.9999999851070884,0.0,1.347844123752614e-08,Transitional,0.9999999851070884,2.8797054210707244e-07,1.7892615793519381e-07,{Transitional},5561.82,-0.01883017909310314,0.9999999851070884,0.7,-0.013181125365172196,0.977051003078395,0.9671435303446321
2011-01-12,2.6480226897896807e-33,9.517755260608165e-14,0.9999999997964836,0.0,2.034212431793992e-10,Transitional,0.9999999997964836,4.743636117976343e-09,2.947386836937442e-09,{Transitional},5513.85,-0.008624874591410592,0.9999999997964836,0.7,-0.0060374122139874135,0.9711521434187208,0.9588020386835155
2011-01-13,2.1181689203242846e-32,9.796010547104765e-14,0.9999999998772788,0.0,1.2262329024356748e-10,Transitional,0.9999999998772788,2.9219199135781203e-09,1.815490918291488e-09,{Transitional},5518.92,0.0009195027068200634,0.9999999998772788,0.7,0.0006436518947740443,0.9717772273359462,0.9596836597533897
2011-01-14,4.4398491016388994e-30,1.7379705100650525e-13,0.9999999999282936,0.0,7.153269613109443e-11,Transitional,0.9999999999282936,1.7455535805756543e-09,1.0845734197572703e-09,{Transitional},5542.13,0.0042055329665948715,0.9999999999282936,0.7,0.00294387307661641,0.9746380161519694,0.9637196410219849
